date,open,high,low,close,volume
2025-10-06 07:00:00,18.6,19.25,18.6,19.0,288700
2025-10-07 07:00:00,19.15,19.15,18.8,18.8,150500
2025-10-08 07:00:00,18.9,19.15,18.5,18.8,336200
2025-10-09 07:00:00,18.8,18.8,18.5,18.8,222700
2025-10-10 07:00:00,18.9,18.9,18.5,18.5,526800
2025-10-13 07:00:00,18.25,18.5,17.95,18.25,1011200
2025-10-14 07:00:00,18.55,18.55,17.7,17.7,664400
2025-10-15 07:00:00,17.6,18.05,17.4,17.7,521200
2025-10-16 07:00:00,17.8,18.2,17.8,18.0,628500
2025-10-17 07:00:00,18.1,18.1,17.65,17.95,425400
2025-10-20 07:00:00,17.75,17.85,16.7,16.75,606700
2025-10-21 07:00:00,16.5,16.65,15.6,16.0,1016000
2025-10-22 07:00:00,16.0,16.3,15.4,16.0,906800
2025-10-23 07:00:00,16.0,16.2,15.85,16.1,314800
2025-10-24 07:00:00,16.1,16.1,15.7,15.95,291600
2025-10-27 07:00:00,16.2,16.5,15.95,16.1,906600
2025-10-28 07:00:00,16.1,16.25,15.8,16.25,427500
2025-10-29 07:00:00,16.25,16.65,16.15,16.45,466600
2025-10-30 07:00:00,16.4,16.45,16.2,16.3,408300
2025-10-31 07:00:00,16.2,16.4,16.1,16.2,452100
2025-11-03 07:00:00,16.15,16.9,16.05,16.5,562000
2025-11-04 07:00:00,16.45,16.75,15.8,16.5,511800
2025-11-05 07:00:00,16.6,16.6,16.2,16.35,230700
2025-11-06 07:00:00,16.35,16.4,16.1,16.25,199900
2025-11-07 07:00:00,16.25,16.25,15.7,15.7,761400
2025-11-10 07:00:00,15.8,15.8,15.5,15.55,517200
2025-11-11 07:00:00,15.55,15.8,15.4,15.55,389100
2025-11-12 07:00:00,15.6,16.0,15.6,15.85,222800
2025-11-13 07:00:00,15.95,16.0,15.7,15.85,178100
2025-11-14 07:00:00,15.85,16.25,15.8,16.0,325200
2025-11-17 07:00:00,16.05,16.5,16.05,16.4,394000
2025-11-18 07:00:00,16.4,16.55,16.2,16.35,253700
