date,open,high,low,close,volume
2025-10-06 07:00:00,34.45,35.05,34.45,35.0,2330700
2025-10-07 07:00:00,35.15,35.15,34.7,34.95,1892600
2025-10-08 07:00:00,34.8,35.0,34.7,35.0,1784100
2025-10-09 07:00:00,34.95,35.5,34.8,35.4,3795100
2025-10-10 07:00:00,35.35,35.4,35.05,35.25,1984100
2025-10-13 07:00:00,35.0,35.1,34.55,34.95,2901400
2025-10-14 07:00:00,34.95,35.0,34.45,34.5,4131200
2025-10-15 07:00:00,34.4,34.65,33.85,34.25,2317500
2025-10-16 07:00:00,34.2,34.25,33.75,33.95,1271800
2025-10-17 07:00:00,33.85,34.2,33.8,33.95,1657200
2025-10-20 07:00:00,33.7,33.95,32.7,32.7,2481000
2025-10-21 07:00:00,32.1,33.15,31.75,33.1,2374700
2025-10-22 07:00:00,33.0,33.4,32.7,32.9,1439200
2025-10-23 07:00:00,32.5,33.0,32.5,32.75,913900
2025-10-24 07:00:00,32.45,32.55,32.0,32.25,1208700
2025-10-27 07:00:00,32.25,32.3,31.8,31.8,1216000
2025-10-28 07:00:00,31.85,31.85,30.45,31.35,2427900
2025-10-29 07:00:00,31.0,31.5,30.9,31.5,1329600
2025-10-30 07:00:00,30.55,32.1,30.45,32.1,3073100
2025-10-31 07:00:00,32.3,32.3,31.7,32.0,938600
2025-11-03 07:00:00,31.75,32.0,31.55,32.0,1975500
2025-11-04 07:00:00,31.65,32.25,31.55,32.25,1126800
2025-11-05 07:00:00,31.95,32.25,31.85,32.25,894300
2025-11-06 07:00:00,32.0,32.2,31.95,32.15,720700
2025-11-07 07:00:00,32.55,32.55,31.5,31.75,1568200
2025-11-10 07:00:00,31.65,31.8,31.0,31.8,748800
2025-11-11 07:00:00,31.55,32.3,31.45,32.3,1622700
2025-11-12 07:00:00,32.25,32.7,32.15,32.5,2390600
2025-11-13 07:00:00,32.2,32.4,31.95,32.4,1447200
2025-11-14 07:00:00,32.4,32.4,31.95,32.25,746900
2025-11-17 07:00:00,32.0,32.05,31.85,32.0,1268400
2025-11-18 07:00:00,31.7,32.0,31.45,32.0,1480200
