date,open,high,low,close,volume
2025-10-06 07:00:00,41.1,41.7,41.1,41.55,77000
2025-10-07 07:00:00,41.85,41.85,41.45,41.5,59100
2025-10-08 07:00:00,41.7,42.35,41.0,42.25,192900
2025-10-09 07:00:00,42.3,43.5,41.75,43.2,383500
2025-10-10 07:00:00,43.45,44.4,43.3,44.0,403300
2025-10-13 07:00:00,43.5,44.0,43.1,43.3,269000
2025-10-14 07:00:00,43.3,43.3,42.0,42.05,90000
2025-10-15 07:00:00,41.65,42.3,41.65,41.7,108900
2025-10-16 07:00:00,41.7,42.0,41.2,42.0,169800
2025-10-17 07:00:00,42.2,42.7,41.55,42.4,152000
2025-10-20 07:00:00,42.4,43.55,41.05,42.4,728900
2025-10-21 07:00:00,42.45,42.9,42.0,42.05,97300
2025-10-22 07:00:00,42.15,43.45,42.1,43.0,206000
2025-10-23 07:00:00,44.1,44.1,42.9,43.1,96100
2025-10-24 07:00:00,43.1,43.1,42.25,42.8,112600
2025-10-27 07:00:00,42.1,43.0,42.1,42.8,45800
2025-10-28 07:00:00,42.8,42.95,42.55,42.85,73600
2025-10-29 07:00:00,42.85,44.75,42.85,44.45,612900
2025-10-30 07:00:00,44.7,46.0,44.7,45.75,508600
2025-10-31 07:00:00,46.0,46.5,45.35,45.7,450400
2025-11-03 07:00:00,45.0,45.7,44.0,44.0,283000
2025-11-04 07:00:00,42.45,44.0,42.0,43.95,363100
2025-11-05 07:00:00,43.95,44.5,43.35,44.35,309700
2025-11-06 07:00:00,44.45,45.0,44.25,45.0,233000
2025-11-07 07:00:00,44.0,44.5,44.0,44.0,156600
2025-11-10 07:00:00,43.05,44.35,43.05,44.1,96500
2025-11-11 07:00:00,44.1,45.95,43.65,45.95,562800
2025-11-12 07:00:00,46.5,46.5,45.1,45.8,574900
2025-11-13 07:00:00,45.8,47.0,45.5,45.7,823900
2025-11-14 07:00:00,45.8,46.0,45.1,46.0,311500
2025-11-17 07:00:00,45.9,46.2,45.0,45.4,138100
2025-11-18 07:00:00,45.4,45.5,44.0,44.9,261500
2025-11-19 07:00:00,45.0,45.85,44.8,45.15,176800
2025-11-20 07:00:00,45.15,45.55,42.0,44.65,327200
2025-11-21 07:00:00,44.65,44.65,43.6,44.2,53400
2025-11-24 07:00:00,44.2,44.5,43.5,44.05,183100
2025-11-25 07:00:00,43.65,44.3,43.5,43.65,187600
2025-11-26 07:00:00,43.25,43.8,43.25,43.5,117100
2025-11-27 07:00:00,43.95,44.05,42.7,44.0,125100
2025-11-28 07:00:00,43.6,43.9,43.2,43.2,54700
2025-12-01 07:00:00,42.9,44.4,42.9,44.2,131100
2025-12-02 07:00:00,44.2,44.2,43.25,43.9,89000
2025-12-03 07:00:00,43.5,43.9,43.2,43.85,81700
2025-12-04 07:00:00,43.85,43.9,43.3,43.8,63700
2025-12-05 07:00:00,43.8,43.95,43.45,43.45,76700
2025-12-08 07:00:00,43.45,43.45,43.05,43.1,80100
2025-12-09 07:00:00,43.0,43.0,42.35,42.85,101600
2025-12-10 07:00:00,42.8,43.7,42.7,43.25,149600
2025-12-11 07:00:00,43.25,43.7,43.2,43.25,12700
2025-12-12 07:00:00,43.1,43.2,42.6,42.6,40300
2025-12-15 07:00:00,42.6,42.9,42.3,42.4,102700
2025-12-16 07:00:00,42.0,42.75,42.0,42.75,56100
2025-12-17 07:00:00,42.85,43.4,42.3,43.0,112800
2025-12-18 07:00:00,43.25,43.25,42.65,42.8,12600
2025-12-19 07:00:00,42.4,42.95,42.4,42.75,15600
2025-12-22 07:00:00,42.75,42.9,42.7,42.8,11000
2025-12-23 07:00:00,42.0,43.0,42.0,42.55,108300
2025-12-24 07:00:00,42.3,43.0,42.3,42.65,27800
2025-12-25 07:00:00,42.55,42.9,42.5,42.7,76500
2025-12-26 07:00:00,42.5,42.65,42.3,42.45,52000
2025-12-29 07:00:00,42.1,43.0,42.1,42.7,140500
2025-12-30 07:00:00,42.5,42.75,42.3,42.5,27800
2025-12-31 07:00:00,42.35,43.0,42.35,42.7,99200
2026-01-05 07:00:00,42.7,43.3,42.3,42.8,141300
2026-01-06 07:00:00,42.85,43.6,42.5,43.6,289600
2026-01-07 07:00:00,43.6,44.8,43.3,44.3,266200
2026-01-08 07:00:00,44.95,46.0,44.4,45.65,720900
2026-01-09 07:00:00,45.5,46.3,45.15,45.8,425800
2026-01-12 07:00:00,46.2,47.2,46.0,46.2,457200
2026-01-13 07:00:00,46.5,46.75,45.4,46.75,141000
2026-01-14 07:00:00,47.0,49.3,46.4,48.9,990800
2026-01-15 07:00:00,49.95,50.8,48.25,50.1,474500
2026-01-16 07:00:00,50.1,50.1,49.0,49.1,284400
2026-01-19 07:00:00,48.5,48.5,46.5,47.7,160400
2026-01-20 07:00:00,46.5,47.5,46.45,46.45,281500
2026-01-21 07:00:00,46.95,46.95,46.2,46.95,137100
2026-01-22 07:00:00,46.95,49.9,46.95,48.8,343100
2026-01-23 07:00:00,47.45,48.3,46.75,46.8,73300
2026-01-26 07:00:00,45.1,46.7,44.6,46.2,248900
2026-01-27 07:00:00,45.7,46.8,45.7,46.0,12100
2026-01-28 07:00:00,46.0,46.7,46.0,46.0,84900
2026-01-29 07:00:00,46.0,47.0,45.6,46.7,41700
2026-01-30 07:00:00,47.35,47.9,46.7,47.7,146800
2026-02-02 07:00:00,47.2,49.0,47.2,48.8,392600
2026-02-03 07:00:00,48.9,49.8,48.9,49.1,288900
2026-02-04 07:00:00,48.55,49.9,48.55,49.4,324700
2026-02-05 07:00:00,49.45,52.8,49.45,52.8,798200
2026-02-06 07:00:00,53.0,55.4,52.0,54.2,391900
2026-02-09 07:00:00,55.0,55.0,53.0,53.3,206400
2026-02-10 07:00:00,52.1,54.4,52.1,52.9,142100
2026-02-11 07:00:00,51.2,56.6,50.3,56.6,1110600
2026-02-12 07:00:00,57.9,60.5,57.2,60.5,371400
2026-02-13 07:00:00,61.9,62.3,58.0,60.5,318400
2026-02-23 07:00:00,60.3,63.2,59.1,61.5,389700
2026-02-24 07:00:00,62.2,65.8,61.5,65.8,446800
2026-02-25 07:00:00,67.8,70.0,66.5,70.0,736900
2026-02-26 07:00:00,74.5,74.5,67.5,68.8,191700
2026-02-27 07:00:00,71.4,73.6,68.0,73.6,318500
2026-03-02 07:00:00,76.0,77.3,68.5,71.0,826500
2026-03-03 07:00:00,72.8,75.9,69.1,75.9,491800
2026-03-04 07:00:00,76.3,77.9,73.4,76.1,570700
2026-03-05 07:00:00,76.8,76.8,70.8,75.1,243200
2026-03-06 07:00:00,70.5,73.5,69.9,69.9,202600
2026-03-09 07:00:00,69.9,72.5,65.3,67.9,492100
2026-03-10 07:00:00,67.5,71.8,67.5,71.0,160800
2026-03-11 07:00:00,66.5,70.7,66.5,68.7,84400
2026-03-12 07:00:00,68.4,71.5,67.3,71.0,452000
2026-03-13 07:00:00,71.0,71.9,66.5,67.1,527300
2026-03-16 07:00:00,66.1,66.1,62.5,62.5,86800
2026-03-17 07:00:00,58.2,62.2,58.2,58.2,332100
2026-03-18 07:00:00,58.2,62.2,56.0,62.2,219700
2026-03-19 07:00:00,60.5,62.1,58.4,59.5,111200
2026-03-20 07:00:00,58.1,58.6,55.4,55.4,125100
2026-03-23 07:00:00,52.1,54.0,51.6,53.7,297300
2026-03-24 07:00:00,54.0,54.1,50.3,52.0,189800
2026-03-25 07:00:00,53.0,54.7,52.2,53.5,126800
2026-03-26 07:00:00,53.7,57.2,51.6,57.2,454800
2026-03-27 07:00:00,57.1,58.1,55.7,56.5,235600
2026-03-30 07:00:00,56.5,58.4,55.8,57.2,118100
2026-03-31 07:00:00,57.2,57.3,54.1,55.3,105000
2026-04-01 07:00:00,55.5,56.8,54.6,55.5,145400
2026-04-02 07:00:00,55.5,57.5,55.0,57.2,197100
2026-04-03 07:00:00,57.2,57.2,55.4,55.4,79400
2026-04-06 07:00:00,55.5,56.4,52.0,54.9,100400
2026-04-07 07:00:00,54.9,55.9,54.8,55.5,147300
2026-04-08 07:00:00,57.4,57.4,55.0,56.2,61800
2026-04-09 07:00:00,56.2,56.2,55.1,55.5,85900
2026-04-10 07:00:00,55.5,59.2,55.3,57.9,243500
2026-04-13 07:00:00,57.8,59.5,57.8,57.9,87100
2026-04-14 07:00:00,58.0,58.4,56.9,58.3,65500
2026-04-15 07:00:00,58.3,58.8,57.4,58.3,189500
2026-04-16 07:00:00,58.4,62.3,58.2,62.3,789500
2026-04-17 07:00:00,64.0,66.6,62.6,66.6,232000
2026-04-20 07:00:00,66.6,69.4,63.6,64.0,221200
2026-04-21 07:00:00,64.0,66.2,63.6,65.3,287200
2026-04-22 07:00:00,65.0,66.6,65.0,66.0,337900
2026-04-23 07:00:00,67.5,67.5,62.2,64.2,211700
2026-04-24 07:00:00,60.25,60.34,57.26,58.01,134700
2026-04-28 07:00:00,57.54,59.97,56.32,59.03,124000
2026-04-29 07:00:00,59.03,63.14,59.03,63.14,794200
2026-05-04 07:00:00,60.06,66.88,60.06,66.88,711400
2026-05-05 07:00:00,66.6,66.79,63.52,63.52,293700
2026-05-06 07:00:00,63.52,63.7,61.28,62.49,220500
2026-05-07 07:00:00,63.33,63.33,59.32,60.25,400000
2026-05-08 07:00:00,60.34,62.49,60.34,60.9,707500
2026-05-11 07:00:00,60.72,61.84,58.57,59.22,554000
2026-05-12 07:00:00,59.5,60.06,57.17,59.6,177100
2026-05-13 07:00:00,60.62,60.72,58.47,59.6,260800
2026-05-14 07:00:00,59.6,60.06,57.91,57.91,171800
2026-05-15 07:00:00,58.1,58.75,57.73,58.57,79100
2026-05-18 07:00:00,58.57,59.78,58.57,59.03,532400
2026-05-19 07:00:00,59.03,59.13,56.79,56.89,178800
2026-05-20 07:00:00,56.89,57.26,53.9,54.18,211700
2026-05-21 07:00:00,54.64,54.83,53.24,53.24,89100
2026-05-22 07:00:00,53.24,55.67,53.24,55.02,190700
2026-05-25 07:00:00,56.79,56.79,54.18,54.27,139800
2026-05-26 07:00:00,54.83,54.83,53.24,53.24,95500
2026-05-27 07:00:00,53.43,54.18,53.43,53.8,53300
2026-05-28 07:00:00,53.43,53.52,52.31,53.15,86400
2026-05-29 07:00:00,52.87,53.62,51.75,51.75,50000
2026-06-01 07:00:00,51.75,55.3,51.75,55.3,701000
2026-06-02 07:00:00,54.27,55.48,53.43,54.36,412000
2026-06-03 07:00:00,54.36,54.46,53.34,53.34,169000
2026-06-04 07:00:00,54.64,54.64,52.5,53.52,167200
2026-06-05 07:00:00,53.15,53.99,52.4,53.24,144100
2026-06-08 07:00:00,52.59,53.06,51.94,53.06,160700
2026-06-09 07:00:00,53.52,53.52,52.31,52.96,180200
2026-06-10 07:00:00,52.4,53.43,52.4,52.96,95200
2026-06-11 07:00:00,52.96,52.96,52.4,52.96,34400
2026-06-12 07:00:00,52.96,52.96,52.4,52.78,23800
2026-06-15 07:00:00,53.71,53.71,50.72,52.5,255900
2026-06-16 07:00:00,52.5,52.87,51.66,52.31,59600
2026-06-17 07:00:00,52.31,54.27,51.84,54.18,343200
2026-06-18 07:00:00,54.18,54.83,53.62,54.27,260400
2026-06-19 07:00:00,53.34,54.64,52.78,53.06,160200
2026-06-22 07:00:00,53.06,53.43,52.12,53.06,115600
2026-06-23 07:00:00,53.06,53.24,52.12,52.12,123700
2026-06-24 07:00:00,52.12,52.87,52.12,52.31,67500
2026-06-25 07:00:00,51.75,52.78,51.47,52.78,140800
2026-06-26 07:00:00,52.78,52.78,51.75,52.68,30900
2026-06-29 07:00:00,52.68,52.87,52.31,52.68,33600
2026-06-30 07:00:00,52.68,52.68,51.84,52.4,16300
2026-07-01 07:00:00,52.68,53.71,52.03,53.34,219300
2026-07-02 07:00:00,53.06,53.34,52.4,52.59,58700
2026-07-03 07:00:00,52.78,52.78,51.75,51.75,151200
2026-07-06 07:00:00,51.75,51.84,50.44,50.44,206700
2026-07-07 07:00:00,49.97,50.53,49.51,49.51,32600
2026-07-08 07:00:00,50.72,52.96,49.88,52.96,466300
2026-07-09 07:00:00,53.24,56.04,52.4,55.67,707100
2026-07-10 07:00:00,55.3,55.86,52.31,52.31,251000
2026-07-13 07:00:00,52.22,52.22,50.07,51.84,134700
2026-07-14 07:00:00,51.75,53.71,51.0,53.43,415600
2026-07-15 07:00:00,53.34,53.34,51.28,51.38,105100
2026-07-16 07:00:00,51.38,51.84,50.16,51.84,174800
2026-07-17 07:00:00,51.84,52.31,51.1,51.47,141000
2026-07-20 07:00:00,52.31,52.31,50.16,50.16,98000
2026-07-21 07:00:00,50.25,50.53,49.04,49.04,155200
2026-07-22 07:00:00,49.13,49.6,49.13,49.32,153900
2026-07-23 07:00:00,50.63,50.63,46.98,49.23,172600
2026-07-24 07:00:00,48.57,49.23,46.33,46.33,113700
2026-07-27 07:00:00,46.42,46.7,45.02,46.19,208300
2026-07-28 07:00:00,45.72,46.61,44.65,45.77,425500
2026-07-29 07:00:00,45.77,46.7,45.77,46.42,178800
2026-07-30 07:00:00,46.7,47.64,46.28,47.64,379400
2026-07-31 07:00:00,47.64,48.1,47.17,47.73,191400
2026-08-03 07:00:00,47.64,48.67,47.08,48.2,180400
2026-08-04 07:00:00,48.2,48.57,48.2,48.39,85900
2026-08-05 07:00:00,48.39,48.67,47.82,48.2,108700
2026-08-06 07:00:00,49.41,49.41,47.82,48.39,132900
2026-08-07 07:00:00,48.39,49.6,48.2,49.41,228800
2026-08-10 07:00:00,49.79,49.97,49.32,49.6,111600
2026-08-11 07:00:00,49.45,50.0,48.55,48.85,198800
2026-08-12 07:00:00,48.7,48.7,48.15,48.3,46900
2026-08-13 07:00:00,48.7,48.7,47.4,47.5,88700
2026-08-14 07:00:00,47.45,48.8,46.25,48.2,209000
2026-08-17 07:00:00,48.2,48.3,47.55,47.7,28900
2026-08-18 07:00:00,47.5,48.5,47.5,47.7,279700
2026-08-19 07:00:00,47.7,48.0,47.45,47.9,239000
2026-08-20 07:00:00,48.1,48.1,47.3,47.8,195800
2026-08-21 07:00:00,48.0,48.6,47.6,48.25,320400
2026-08-24 07:00:00,48.75,48.75,48.0,48.25,79300
2026-08-25 07:00:00,48.25,48.6,47.9,47.95,216000
2026-08-26 07:00:00,47.5,48.1,47.5,47.7,96600
2026-08-27 07:00:00,47.7,48.1,47.7,47.75,97900
