date,open,high,low,close,volume
2025-10-06 07:00:00,136.6,137.08,135.93,136.12,49800
2025-10-07 07:00:00,137.56,137.56,135.93,136.21,27700
2025-10-08 07:00:00,136.6,137.37,136.41,137.08,31100
2025-10-09 07:00:00,137.27,138.04,137.08,137.75,60400
2025-10-10 07:00:00,138.72,138.81,138.04,138.04,53800
2025-10-13 07:00:00,136.98,138.04,136.7,138.04,74900
2025-10-14 07:00:00,138.43,138.52,136.12,136.12,115400
2025-10-15 07:00:00,136.12,137.08,134.96,136.02,69500
2025-10-16 07:00:00,139.49,144.78,139.49,144.78,264100
2025-10-17 07:00:00,145.26,154.88,145.26,154.88,645300
2025-10-20 07:00:00,162.57,162.57,150.07,151.99,217400
2025-10-21 07:00:00,151.99,162.57,151.99,162.57,349600
2025-10-22 07:00:00,164.5,171.23,163.15,167.38,156700
2025-10-23 07:00:00,167.29,167.29,158.72,158.72,174000
2025-10-24 07:00:00,159.01,167.38,158.72,167.38,110600
2025-10-27 07:00:00,167.38,167.38,159.69,160.65,117800
2025-10-28 07:00:00,159.97,163.82,159.69,163.34,125200
2025-10-29 07:00:00,163.44,164.88,159.78,163.53,180600
2025-10-30 07:00:00,164.02,164.21,161.9,162.57,102200
2025-10-31 07:00:00,163.53,163.53,160.46,163.53,129100
2025-11-03 07:00:00,163.63,167.38,163.34,167.19,272000
2025-11-04 07:00:00,163.73,167.19,162.09,164.5,79100
2025-11-05 07:00:00,162.76,166.42,162.76,164.5,53900
2025-11-06 07:00:00,164.5,173.06,164.5,172.19,197500
2025-11-07 07:00:00,173.06,173.15,162.09,163.05,187200
2025-11-10 07:00:00,164.5,166.42,160.17,160.17,113000
2025-11-11 07:00:00,165.46,165.46,160.17,161.23,50500
2025-11-12 07:00:00,162.09,167.19,161.13,166.71,116100
2025-11-13 07:00:00,166.71,166.71,164.02,166.23,91600
2025-11-14 07:00:00,166.23,166.23,163.73,164.4,67500
2025-11-17 07:00:00,166.4,167.4,163.5,166.6,117600
2025-11-18 07:00:00,164.0,166.0,163.9,164.1,73800
