date,open,high,low,close,volume
2025-10-06 07:00:00,10.44,10.54,10.44,10.44,15200
2025-10-07 07:00:00,10.44,10.49,10.44,10.44,4300
2025-10-08 07:00:00,10.54,10.54,10.4,10.49,21600
2025-10-09 07:00:00,10.49,10.49,10.4,10.49,10100
2025-10-10 07:00:00,10.44,10.44,10.2,10.25,156800
2025-10-13 07:00:00,10.25,10.3,10.2,10.3,20800
2025-10-14 07:00:00,10.25,10.25,10.15,10.15,19300
2025-10-15 07:00:00,10.11,10.2,9.67,10.01,21500
2025-10-16 07:00:00,10.11,10.15,10.11,10.15,2000
2025-10-17 07:00:00,10.25,10.4,10.25,10.25,2800
2025-10-20 07:00:00,10.15,10.15,9.67,9.86,23600
2025-10-21 07:00:00,9.96,10.01,9.67,9.96,19000
2025-10-22 07:00:00,9.86,9.96,9.82,9.86,6700
2025-10-23 07:00:00,9.96,9.96,9.82,9.86,18800
2025-10-24 07:00:00,9.91,9.91,9.82,9.82,16500
2025-10-27 07:00:00,9.86,9.86,9.77,9.86,10700
2025-10-28 07:00:00,9.82,9.86,9.82,9.82,8200
2025-10-29 07:00:00,9.86,9.86,9.67,9.77,99000
2025-10-30 07:00:00,9.77,9.77,9.67,9.77,66900
2025-10-31 07:00:00,9.67,9.82,9.67,9.67,40700
2025-11-03 07:00:00,9.67,9.72,9.66,9.67,34500
2025-11-04 07:00:00,9.72,9.72,9.62,9.67,22700
2025-11-05 07:00:00,9.67,9.67,9.63,9.67,9500
2025-11-06 07:00:00,9.65,9.72,9.65,9.67,30100
2025-11-07 07:00:00,9.67,9.82,9.66,9.67,114500
2025-11-10 07:00:00,9.67,9.77,9.67,9.77,22900
2025-11-11 07:00:00,9.77,9.82,9.67,9.72,103800
2025-11-12 07:00:00,9.67,9.77,9.67,9.72,38900
2025-11-13 07:00:00,9.72,9.77,9.67,9.67,56400
2025-11-14 07:00:00,9.67,9.67,9.62,9.67,48500
2025-11-17 07:00:00,9.67,9.67,9.62,9.67,39100
2025-11-18 07:00:00,9.67,9.72,9.62,9.67,59600
2025-11-19 07:00:00,9.51,9.67,9.51,9.67,114300
2025-11-20 07:00:00,9.72,9.82,9.72,9.77,331900
2025-11-21 07:00:00,9.77,9.82,9.64,9.67,48000
2025-11-24 07:00:00,9.79,9.82,9.0,9.73,136400
2025-11-25 07:00:00,9.74,9.74,9.65,9.7,19600
2025-11-26 07:00:00,9.66,9.71,9.6,9.66,52500
2025-11-27 07:00:00,9.67,9.67,9.61,9.65,18400
2025-11-28 07:00:00,9.65,9.66,9.63,9.63,9800
2025-12-01 07:00:00,9.61,9.62,9.51,9.51,25600
2025-12-02 07:00:00,9.52,9.59,9.5,9.5,20100
2025-12-03 07:00:00,9.51,9.55,9.51,9.52,26300
2025-12-04 07:00:00,9.54,9.55,9.52,9.53,12600
2025-12-05 07:00:00,9.53,9.54,9.49,9.51,12300
2025-12-08 07:00:00,9.52,9.52,9.5,9.5,22400
2025-12-09 07:00:00,9.5,9.5,9.4,9.46,16200
2025-12-10 07:00:00,9.4,9.41,9.3,9.35,31200
2025-12-11 07:00:00,9.35,9.35,9.28,9.35,29200
2025-12-12 07:00:00,9.34,9.34,9.21,9.22,20900
2025-12-15 07:00:00,9.1,9.2,9.0,9.0,46000
2025-12-16 07:00:00,9.02,9.19,8.97,9.0,33900
2025-12-17 07:00:00,9.0,9.1,8.99,9.0,41500
2025-12-18 07:00:00,9.0,9.0,9.0,9.0,20000
2025-12-19 07:00:00,8.98,9.0,8.98,8.99,15000
2025-12-22 07:00:00,9.08,9.61,9.0,9.28,66200
2025-12-23 07:00:00,9.55,9.55,9.2,9.3,27700
2025-12-24 07:00:00,9.3,9.3,8.99,9.1,25800
2025-12-25 07:00:00,9.1,9.1,8.98,9.1,40100
2025-12-26 07:00:00,9.05,9.05,8.95,8.95,35600
2025-12-29 07:00:00,9.16,9.16,8.96,8.99,7500
