date,open,high,low,close,volume
2025-10-06 07:00:00,48.4,48.4,47.38,47.48,67200
2025-10-07 07:00:00,47.67,48.11,47.14,47.77,128000
2025-10-08 07:00:00,47.91,47.91,47.14,47.62,44400
2025-10-09 07:00:00,47.67,47.77,47.28,47.33,86100
2025-10-10 07:00:00,47.38,48.79,47.38,48.01,194800
2025-10-13 07:00:00,47.48,48.35,47.43,48.01,90300
2025-10-14 07:00:00,48.01,48.4,47.43,47.43,299300
2025-10-15 07:00:00,47.43,47.67,46.6,46.75,196200
2025-10-16 07:00:00,46.65,46.99,46.6,46.84,109000
2025-10-17 07:00:00,46.7,47.82,46.7,46.8,54500
2025-10-20 07:00:00,46.8,47.09,45.73,45.73,146900
2025-10-21 07:00:00,46.21,47.33,45.68,46.41,175000
2025-10-22 07:00:00,46.16,46.75,46.07,46.21,36800
2025-10-23 07:00:00,46.16,46.65,45.92,46.46,52400
2025-10-24 07:00:00,46.41,46.65,45.87,46.65,51300
2025-10-27 07:00:00,46.7,47.09,46.36,46.6,73400
2025-10-28 07:00:00,46.94,46.94,46.26,46.75,93200
2025-10-29 07:00:00,47.52,49.08,47.43,48.5,542800
2025-10-30 07:00:00,48.59,48.59,47.82,48.01,35700
2025-10-31 07:00:00,48.3,48.45,47.62,47.62,99100
2025-11-03 07:00:00,48.4,48.4,46.8,46.8,126000
2025-11-04 07:00:00,46.75,46.94,43.83,46.07,366500
2025-11-05 07:00:00,46.07,46.7,45.48,45.73,107700
2025-11-06 07:00:00,45.78,46.26,45.58,45.73,123600
2025-11-07 07:00:00,45.68,46.16,45.58,45.68,116200
2025-11-10 07:00:00,46.07,46.07,45.29,45.48,105600
2025-11-11 07:00:00,45.48,45.82,45.48,45.53,51400
2025-11-12 07:00:00,46.02,46.02,45.48,45.73,33400
2025-11-13 07:00:00,45.87,46.07,45.63,45.63,99900
2025-11-14 07:00:00,45.68,45.97,45.48,45.97,149000
2025-11-17 07:00:00,45.97,45.97,45.68,45.78,67700
2025-11-18 07:00:00,45.78,46.36,45.78,46.31,49400
2025-11-19 07:00:00,46.84,47.14,46.36,46.99,202200
2025-11-20 07:00:00,46.99,47.62,46.75,46.89,61600
2025-11-21 07:00:00,46.89,46.94,46.26,46.65,106700
2025-11-24 07:00:00,47.14,47.23,46.36,46.5,28600
2025-11-25 07:00:00,46.16,46.65,45.78,45.78,135900
2025-11-26 07:00:00,45.97,46.16,45.82,46.12,39000
2025-11-27 07:00:00,46.16,46.65,46.12,46.16,29800
2025-11-28 07:00:00,46.16,46.36,45.78,45.92,21900
2025-12-01 07:00:00,45.92,46.36,45.44,45.44,148900
2025-12-02 07:00:00,45.48,45.87,45.48,45.87,45000
2025-12-03 07:00:00,46.16,46.16,45.48,45.63,100900
2025-12-04 07:00:00,45.68,46.16,45.68,45.68,62000
2025-12-05 07:00:00,45.92,45.92,45.68,45.68,13800
2025-12-08 07:00:00,45.68,45.78,44.71,44.71,163300
2025-12-09 07:00:00,44.75,44.95,44.17,44.36,201500
2025-12-10 07:00:00,44.36,45.29,44.22,44.32,104000
2025-12-11 07:00:00,45.14,45.14,44.51,44.61,23100
2025-12-12 07:00:00,44.71,45.14,44.46,44.51,37900
2025-12-15 07:00:00,44.95,44.95,44.46,44.46,21700
2025-12-16 07:00:00,44.71,44.8,44.27,44.8,50300
2025-12-17 07:00:00,44.8,45.0,44.32,44.36,43000
2025-12-18 07:00:00,44.36,44.56,43.73,43.73,40800
2025-12-19 07:00:00,43.73,43.78,42.76,42.76,170500
2025-12-22 07:00:00,42.76,43.25,42.28,42.66,134700
2025-12-23 07:00:00,42.76,42.76,41.84,42.28,404000
2025-12-24 07:00:00,42.23,42.23,41.16,41.74,241100
2025-12-25 07:00:00,41.79,43.25,41.79,42.28,288500
2025-12-26 07:00:00,43.15,43.64,40.82,40.82,555300
2025-12-29 07:00:00,41.79,43.64,41.79,43.64,323600
2025-12-30 07:00:00,46.65,46.65,43.88,45.58,566700
2025-12-31 07:00:00,45.53,46.07,43.98,46.07,95800
2026-01-05 07:00:00,45.78,45.78,44.61,44.8,131700
2026-01-06 07:00:00,45.14,45.14,43.93,44.02,100300
2026-01-07 07:00:00,44.66,44.66,44.02,44.02,134600
2026-01-08 07:00:00,43.83,44.07,43.39,43.39,321700
2026-01-09 07:00:00,43.39,44.66,43.34,43.59,97400
2026-01-12 07:00:00,44.22,44.22,42.76,43.88,180200
2026-01-13 07:00:00,44.02,45.68,43.73,45.68,217500
2026-01-14 07:00:00,45.63,45.63,45.0,45.53,114000
2026-01-15 07:00:00,45.05,45.97,45.05,45.73,79200
2026-01-16 07:00:00,46.46,46.46,45.24,45.53,82900
2026-01-19 07:00:00,45.68,45.87,45.19,45.58,129100
2026-01-20 07:00:00,45.58,45.87,45.39,45.68,284300
2026-01-21 07:00:00,42.86,45.53,42.86,45.19,703200
2026-01-22 07:00:00,45.24,45.68,44.51,45.05,42400
2026-01-23 07:00:00,44.8,44.8,43.83,44.07,131400
2026-01-26 07:00:00,44.61,45.09,43.64,43.64,174600
2026-01-27 07:00:00,44.56,44.56,43.34,44.02,189300
2026-01-28 07:00:00,44.02,44.71,43.78,44.02,121000
2026-01-29 07:00:00,44.41,45.09,44.32,45.09,127300
2026-01-30 07:00:00,45.39,45.68,44.71,45.0,128800
2026-02-02 07:00:00,44.8,45.19,44.56,44.9,153900
2026-02-03 07:00:00,45.3,45.5,44.85,45.0,86300
2026-02-04 07:00:00,45.0,45.45,44.0,44.15,226800
2026-02-05 07:00:00,44.05,44.25,43.65,43.65,224100
2026-02-06 07:00:00,43.65,43.75,43.45,43.5,100500
2026-02-09 07:00:00,43.5,43.9,43.4,43.85,105600
2026-02-10 07:00:00,43.85,44.3,43.6,44.0,527900
2026-02-11 07:00:00,43.55,44.0,43.5,43.5,208600
2026-02-12 07:00:00,43.6,44.1,43.5,44.0,54800
2026-02-13 07:00:00,44.3,44.5,43.7,44.5,170600
2026-02-23 07:00:00,44.5,44.5,44.2,44.4,74100
2026-02-24 07:00:00,44.4,44.4,43.8,43.95,146600
2026-02-25 07:00:00,44.3,44.8,43.7,44.0,187900
2026-02-26 07:00:00,44.5,44.55,43.8,44.0,107800
2026-02-27 07:00:00,44.05,45.05,43.8,44.7,185700
2026-03-02 07:00:00,43.7,45.75,43.7,45.3,281100
2026-03-03 07:00:00,46.25,46.3,45.0,45.2,184600
2026-03-04 07:00:00,45.2,45.2,44.2,44.85,166800
2026-03-05 07:00:00,44.85,45.5,44.85,45.25,134000
2026-03-06 07:00:00,45.1,45.5,44.6,45.45,123400
2026-03-09 07:00:00,44.85,44.85,42.3,42.3,348500
2026-03-10 07:00:00,44.0,44.0,42.4,43.3,70100
2026-03-11 07:00:00,43.3,43.45,42.8,43.0,478600
2026-03-12 07:00:00,43.0,43.05,42.4,42.7,168900
2026-03-13 07:00:00,42.6,43.3,42.6,42.7,181500
2026-03-16 07:00:00,42.7,43.0,42.25,42.25,102400
2026-03-17 07:00:00,42.5,42.9,42.4,42.6,56000
2026-03-18 07:00:00,42.5,43.0,41.95,42.6,167000
2026-03-19 07:00:00,42.75,42.75,41.7,41.9,375200
2026-03-20 07:00:00,42.4,43.2,41.9,42.95,310900
2026-03-23 07:00:00,42.95,42.95,41.2,41.55,473700
2026-03-24 07:00:00,42.45,42.45,41.75,42.15,241400
2026-03-25 07:00:00,42.65,43.55,42.25,43.0,291500
2026-03-26 07:00:00,43.15,43.15,42.6,42.9,71000
2026-03-27 07:00:00,42.9,43.2,42.8,43.15,228200
2026-03-30 07:00:00,42.85,43.9,41.8,42.75,710300
2026-03-31 07:00:00,42.25,43.1,42.25,43.0,125600
2026-04-01 07:00:00,43.05,43.85,42.8,43.05,498200
2026-04-02 07:00:00,43.0,43.0,42.4,43.0,132900
2026-04-03 07:00:00,43.0,43.0,42.6,43.0,119800
2026-04-06 07:00:00,42.0,42.9,42.0,42.85,111800
2026-04-07 07:00:00,42.85,42.95,42.7,42.85,196600
2026-04-08 07:00:00,43.0,43.3,43.0,43.05,598300
2026-04-09 07:00:00,43.05,43.3,42.8,43.1,106200
2026-04-10 07:00:00,43.15,43.2,42.95,43.2,117800
2026-04-13 07:00:00,43.15,43.25,42.85,43.2,34000
2026-04-14 07:00:00,43.7,43.7,43.25,43.6,326800
2026-04-15 07:00:00,43.65,43.65,43.55,43.65,103900
2026-04-16 07:00:00,43.6,43.7,43.05,43.1,613200
2026-04-17 07:00:00,43.05,43.6,43.05,43.6,122800
2026-04-20 00:00:00,42.76,43.15,42.76,43.01,237546
2026-04-20 07:00:00,43.7,44.1,43.7,43.95,237400
2026-04-21 00:00:00,42.76,43.01,42.12,42.76,451712
2026-04-21 07:00:00,43.7,43.95,43.05,43.7,451400
2026-04-22 00:00:00,42.76,42.86,42.17,42.56,379707
2026-04-22 07:00:00,43.7,43.8,43.1,43.5,379600
2026-04-23 00:00:00,42.22,42.76,42.22,42.56,109874
2026-04-23 07:00:00,43.15,43.7,43.15,43.5,109400
2026-04-24 00:00:00,42.52,42.56,41.88,42.27,129273
2026-04-28 00:00:00,42.27,42.56,41.29,41.88,577099
2026-04-29 00:00:00,42.08,42.56,42.03,42.56,196626
2026-05-04 00:00:00,42.66,42.66,42.08,42.37,445806
2026-05-05 00:00:00,42.32,42.56,42.22,42.56,213192
2026-05-06 00:00:00,42.76,43.54,42.71,43.05,138737
2026-05-07 00:00:00,43.05,43.15,42.76,42.76,273055
2026-05-08 00:00:00,43.05,43.15,42.56,42.56,324252
2026-05-11 00:00:00,43.05,43.93,42.56,43.05,183229
2026-05-12 00:00:00,43.05,43.1,42.56,42.76,35493
2026-05-13 00:00:00,42.91,42.96,41.88,42.96,342972
2026-05-14 00:00:00,42.42,42.96,42.42,42.86,131256
2026-05-15 00:00:00,42.96,43.01,42.56,42.86,57529
2026-05-18 00:00:00,43.01,43.01,42.76,42.96,78375
2026-05-19 00:00:00,42.91,43.01,42.76,42.86,172761
2026-05-20 00:00:00,42.96,43.01,42.56,42.71,163980
2026-05-21 00:00:00,42.61,43.05,42.61,43.05,120241
2026-05-22 00:00:00,43.15,43.15,42.71,43.05,22138
2026-05-25 00:00:00,42.22,43.25,42.22,43.05,61850
2026-05-26 00:00:00,43.25,43.59,43.1,43.45,149057
2026-05-27 00:00:00,43.93,43.93,42.47,42.81,247580
2026-05-28 00:00:00,43.05,43.15,42.81,43.15,16262
2026-05-29 00:00:00,43.1,43.45,41.29,41.29,167882
2026-06-01 00:00:00,42.86,42.86,41.29,41.98,41023
2026-06-02 00:00:00,41.93,42.37,41.93,42.27,50259
2026-06-03 00:00:00,42.42,42.42,42.08,42.17,21987
2026-06-04 00:00:00,42.03,42.76,42.03,42.76,57141
2026-06-05 00:00:00,42.76,43.01,42.66,43.01,47119
2026-06-08 00:00:00,43.01,43.05,42.32,43.01,87251
2026-06-09 00:00:00,42.91,43.05,42.56,43.05,56280
2026-06-10 00:00:00,43.4,43.4,42.91,43.05,31185
2026-06-11 00:00:00,43.05,43.25,42.91,43.05,77918
2026-06-12 00:00:00,43.05,43.35,41.1,42.56,185518
2026-06-15 00:00:00,42.56,43.54,42.56,43.35,13096
2026-06-16 00:00:00,43.05,43.35,42.91,43.3,30088
2026-06-17 00:00:00,43.35,43.69,43.01,43.49,90149
2026-06-18 00:00:00,43.35,43.64,43.15,43.25,43279
2026-06-19 00:00:00,43.25,43.3,43.01,43.2,6799
2026-06-22 00:00:00,43.05,43.3,42.86,43.2,19065
2026-06-23 00:00:00,43.2,43.54,43.15,43.54,106612
2026-06-24 00:00:00,43.54,43.54,43.05,43.54,110196
2026-06-25 00:00:00,43.05,43.59,43.05,43.54,42722
2026-06-26 00:00:00,43.59,44.82,43.05,43.74,112252
2026-06-29 00:00:00,44.03,44.13,43.74,44.03,31685
2026-06-30 00:00:00,44.52,44.52,43.93,44.03,58844
2026-07-01 00:00:00,44.86,44.86,43.74,44.03,19995
2026-07-02 00:00:00,44.91,45.35,44.03,45.21,130325
2026-07-03 00:00:00,44.82,44.82,44.08,44.62,23967
2026-07-06 00:00:00,44.08,44.52,43.89,44.23,68197
2026-07-07 00:00:00,44.23,44.37,44.03,44.23,41323
2026-07-08 00:00:00,43.79,44.28,43.79,44.23,42516
2026-07-09 00:00:00,43.84,44.28,43.74,44.23,21211
2026-07-10 00:00:00,44.23,44.28,43.79,44.23,71975
2026-07-13 00:00:00,44.13,44.23,43.69,44.23,70939
2026-07-14 00:00:00,44.23,44.33,44.03,44.33,130935
2026-07-15 00:00:00,44.42,44.42,43.45,44.03,81176
2026-07-16 00:00:00,44.03,44.57,43.74,44.57,310282
2026-07-17 00:00:00,44.57,44.72,44.23,44.33,83458
2026-07-20 00:00:00,44.28,44.77,44.03,44.57,189672
2026-07-21 00:00:00,44.03,44.82,44.03,44.03,265869
2026-07-22 00:00:00,44.03,44.52,42.86,43.74,45626
2026-07-23 00:00:00,42.25,43.75,42.25,43.5,53173
2026-07-24 00:00:00,42.85,43.7,42.7,43.7,100817
2026-07-27 00:00:00,43.7,43.7,43.0,43.7,45864
2026-07-28 00:00:00,43.0,43.7,43.0,43.0,75078
2026-07-29 00:00:00,43.1,43.8,43.1,43.8,402708
2026-07-30 00:00:00,43.8,43.9,43.0,43.0,309231
2026-07-31 00:00:00,43.8,43.9,43.1,43.35,35612
2026-08-03 00:00:00,43.35,43.8,43.3,43.8,81705
2026-08-04 00:00:00,43.05,43.8,43.05,43.8,630232
2026-08-05 00:00:00,43.2,43.8,43.2,43.8,51400
2026-08-06 00:00:00,43.8,43.8,43.5,43.5,763000
2026-08-07 00:00:00,43.15,43.8,43.15,43.8,590300
2026-08-10 00:00:00,44.2,44.2,43.65,43.9,48400
2026-08-11 00:00:00,43.8,44.4,43.4,44.4,34700
2026-08-12 00:00:00,44.0,44.4,43.9,44.4,171100
2026-08-13 00:00:00,44.35,44.4,44.1,44.25,130800
2026-08-14 00:00:00,44.9,44.9,44.1,44.1,3000
