date,open,high,low,close,volume
2025-10-06 07:00:00,54.2,54.5,53.9,54.1,159300
2025-10-07 07:00:00,54.1,54.2,54.0,54.1,44300
2025-10-08 07:00:00,54.0,54.3,54.0,54.2,26800
2025-10-09 07:00:00,54.2,54.2,53.9,54.0,144500
2025-10-10 07:00:00,53.9,54.1,53.8,54.0,47300
2025-10-13 07:00:00,53.8,54.1,53.5,53.9,58900
2025-10-14 07:00:00,53.8,53.9,53.8,53.9,43300
2025-10-15 07:00:00,53.9,53.9,53.8,53.9,33900
2025-10-16 07:00:00,54.0,54.0,53.7,53.9,45100
2025-10-17 07:00:00,54.2,54.2,53.7,53.7,47800
2025-10-20 07:00:00,53.7,53.8,53.3,53.3,46200
2025-10-21 07:00:00,53.3,53.4,52.5,53.4,93700
2025-10-22 07:00:00,53.0,53.4,52.5,53.4,24800
2025-10-23 07:00:00,52.6,53.0,52.6,53.0,10700
2025-10-24 07:00:00,52.9,53.1,52.5,53.1,23500
2025-10-27 07:00:00,53.2,53.2,52.8,53.0,6500
2025-10-28 07:00:00,52.5,52.9,51.8,52.9,81000
2025-10-29 07:00:00,52.7,52.8,52.1,52.8,15100
2025-10-30 07:00:00,52.2,52.7,52.0,52.7,34200
2025-10-31 07:00:00,52.7,52.7,52.0,52.6,3600
2025-11-03 07:00:00,52.5,53.2,52.3,53.2,11900
2025-11-04 07:00:00,53.0,53.0,51.6,52.2,14800
2025-11-05 07:00:00,52.2,53.0,51.8,52.6,23000
2025-11-06 07:00:00,51.3,53.0,51.1,52.5,75800
2025-11-07 07:00:00,52.5,52.8,51.4,52.8,9700
2025-11-10 07:00:00,51.9,52.3,51.5,52.2,10000
2025-11-11 07:00:00,51.2,52.0,51.2,51.9,9100
2025-11-12 07:00:00,51.9,52.0,51.5,52.0,5600
2025-11-13 07:00:00,52.5,52.5,51.3,51.9,2100
2025-11-14 07:00:00,51.3,51.8,51.3,51.5,13400
2025-11-17 07:00:00,53.2,53.8,51.5,51.5,3600
2025-11-18 07:00:00,51.5,52.0,51.3,51.8,6300
2025-11-19 07:00:00,52.0,52.0,51.2,51.7,1100
2025-11-20 07:00:00,51.5,51.9,51.2,51.9,3100
2025-11-21 07:00:00,50.7,51.7,50.7,51.7,1400
2025-11-24 07:00:00,51.7,51.7,50.6,51.5,20600
2025-11-25 07:00:00,51.4,51.4,50.5,50.5,35100
2025-11-26 07:00:00,51.3,51.3,50.6,50.6,11400
2025-11-27 07:00:00,50.5,50.9,50.2,50.7,13600
2025-11-28 07:00:00,51.7,51.7,50.2,50.8,14600
2025-12-01 07:00:00,50.8,50.8,50.0,50.5,48500
2025-12-02 07:00:00,50.5,50.5,49.8,50.4,10900
2025-12-03 07:00:00,50.4,50.5,50.0,50.4,76800
2025-12-04 07:00:00,50.4,50.4,50.0,50.3,12500
2025-12-05 07:00:00,50.3,50.8,50.1,50.3,21900
2025-12-08 07:00:00,50.4,50.4,49.9,50.0,20900
2025-12-09 07:00:00,50.0,50.4,49.8,50.4,22400
2025-12-10 07:00:00,50.4,50.4,49.8,50.1,424700
2025-12-11 07:00:00,50.1,50.1,46.6,49.5,13800
2025-12-12 07:00:00,50.0,50.0,49.0,49.0,18900
2025-12-15 07:00:00,48.2,48.95,47.5,48.05,441000
2025-12-16 07:00:00,47.1,48.8,47.1,48.45,11700
2025-12-17 07:00:00,48.45,49.9,48.0,49.9,18400
2025-12-18 07:00:00,49.9,49.9,48.6,48.95,30400
2025-12-19 07:00:00,48.5,49.0,48.0,48.5,46200
2025-12-22 07:00:00,48.4,48.45,47.9,48.45,17200
2025-12-23 07:00:00,48.45,48.45,48.25,48.3,8400
2025-12-24 07:00:00,48.3,48.3,47.6,48.3,60600
2025-12-25 07:00:00,48.1,48.85,48.0,48.85,22500
2025-12-26 07:00:00,48.1,48.75,47.95,48.45,15700
2025-12-29 07:00:00,48.75,48.75,48.05,48.45,3500
