date,open,high,low,close,volume
2025-10-06 07:00:00,35.1,36.45,35.0,36.35,2754000
2025-10-07 07:00:00,36.5,36.55,35.6,35.6,2349700
2025-10-08 07:00:00,35.85,36.25,35.6,36.05,2330100
2025-10-09 07:00:00,36.55,36.85,36.1,36.7,2098600
2025-10-10 07:00:00,37.0,37.05,36.5,36.5,2550900
2025-10-13 07:00:00,35.9,36.3,35.55,35.65,4498600
2025-10-14 07:00:00,35.7,35.9,34.9,34.9,5473700
2025-10-15 07:00:00,34.9,35.5,33.85,34.0,5370100
2025-10-16 07:00:00,34.3,34.6,34.0,34.6,2552800
2025-10-17 07:00:00,34.8,34.9,33.8,33.8,3321100
2025-10-20 07:00:00,33.8,34.55,32.0,32.0,4925700
2025-10-21 07:00:00,32.9,33.8,32.4,33.8,4679700
2025-10-22 07:00:00,34.0,34.45,33.6,34.45,2723400
2025-10-23 07:00:00,34.5,34.6,34.1,34.2,2160200
2025-10-24 07:00:00,34.4,34.5,33.8,34.0,2039300
2025-10-27 07:00:00,34.05,34.8,33.7,34.4,3102100
2025-10-28 07:00:00,34.5,34.95,34.15,34.8,1818500
2025-10-29 07:00:00,34.95,35.55,34.7,35.2,3987200
2025-10-30 07:00:00,35.4,35.5,34.95,35.3,1709600
2025-10-31 07:00:00,35.35,35.85,35.0,35.0,2155700
2025-11-03 07:00:00,35.4,35.5,34.55,34.55,2232100
2025-11-04 07:00:00,34.55,35.0,33.2,35.0,3367300
2025-11-05 07:00:00,34.7,36.25,34.5,35.95,5566200
2025-11-06 07:00:00,36.25,36.25,35.35,35.4,2149200
2025-11-07 07:00:00,35.15,35.55,34.05,34.2,2709400
2025-11-10 07:00:00,34.05,34.45,33.55,33.6,1771400
2025-11-11 07:00:00,33.65,33.9,33.5,33.8,898100
2025-11-12 07:00:00,34.0,34.35,33.8,34.3,1036100
2025-11-13 07:00:00,34.4,35.7,34.4,34.7,3132800
2025-11-14 07:00:00,34.7,34.85,34.4,34.4,1155700
2025-11-17 07:00:00,34.65,35.05,34.6,35.0,1858100
2025-11-18 07:00:00,35.1,35.35,34.55,34.8,2170300
2025-11-19 07:00:00,34.85,35.8,34.75,35.35,4159500
2025-11-20 07:00:00,35.3,35.35,34.45,34.8,1771000
2025-11-21 07:00:00,34.75,34.75,33.95,34.05,2831000
2025-11-24 07:00:00,34.3,34.3,33.8,33.85,1484900
2025-11-25 07:00:00,33.95,34.05,33.5,33.55,1630500
2025-11-26 07:00:00,33.65,34.1,33.6,33.95,1048400
2025-11-27 07:00:00,34.15,34.15,33.75,33.95,899000
2025-11-28 07:00:00,33.95,34.0,33.75,33.9,825200
2025-12-01 07:00:00,33.9,33.9,33.6,33.7,794100
2025-12-02 07:00:00,33.7,33.9,33.2,33.85,1192600
2025-12-03 07:00:00,34.15,34.15,33.8,33.9,1037100
2025-12-04 07:00:00,34.0,34.25,33.9,34.25,1159900
2025-12-05 07:00:00,34.3,34.5,34.1,34.2,1202900
2025-12-08 07:00:00,34.05,34.1,33.65,33.8,1198700
2025-12-09 07:00:00,33.9,34.0,33.25,33.35,1334400
2025-12-10 07:00:00,33.6,33.65,33.3,33.35,464200
2025-12-11 07:00:00,33.5,33.65,33.25,33.3,420200
2025-12-12 07:00:00,33.3,33.5,32.2,32.2,1494200
2025-12-15 07:00:00,32.05,32.35,32.0,32.1,1054200
2025-12-16 07:00:00,32.2,32.75,31.2,32.45,1588600
2025-12-17 07:00:00,32.6,32.6,32.0,32.1,687200
2025-12-18 07:00:00,32.1,32.35,31.75,31.95,677700
2025-12-19 07:00:00,31.95,32.2,31.85,31.9,738800
2025-12-22 07:00:00,31.9,32.4,31.9,32.35,1004400
2025-12-23 07:00:00,32.8,32.8,32.4,32.45,1286500
2025-12-24 07:00:00,32.45,32.45,32.0,32.1,963600
2025-12-25 07:00:00,32.15,32.55,32.0,32.0,973200
2025-12-26 07:00:00,32.0,32.5,31.55,31.8,2252100
2025-12-29 07:00:00,32.1,32.9,32.1,32.7,1618300
2025-12-30 07:00:00,32.95,32.95,32.55,32.7,492800
2025-12-31 07:00:00,32.7,32.95,32.4,32.7,1353600
2026-01-05 07:00:00,32.8,33.65,32.6,33.35,2369000
2026-01-06 07:00:00,33.7,33.7,33.0,33.4,1192100
2026-01-07 07:00:00,33.5,34.15,33.3,34.0,2524200
2026-01-08 07:00:00,34.4,35.5,34.4,34.65,5787700
2026-01-09 07:00:00,34.85,35.5,34.5,34.65,2942900
2026-01-12 07:00:00,35.4,36.35,35.1,35.3,5198200
2026-01-13 07:00:00,35.45,35.9,34.7,35.65,3452700
2026-01-14 07:00:00,35.85,37.2,35.35,36.7,7092200
2026-01-15 07:00:00,36.7,36.9,35.6,35.7,3521000
2026-01-16 07:00:00,35.9,36.0,35.2,35.2,2425100
2026-01-19 07:00:00,35.2,35.5,35.0,35.1,1960300
2026-01-20 07:00:00,35.0,35.75,34.9,35.2,3028600
2026-01-21 07:00:00,35.0,36.1,35.0,35.5,3355000
2026-01-22 07:00:00,35.7,37.95,35.7,37.95,10965800
2026-01-23 07:00:00,38.1,38.15,36.0,36.05,4146800
2026-01-26 07:00:00,36.15,36.25,34.25,34.8,5677900
2026-01-27 07:00:00,34.9,35.95,34.85,35.8,2905000
2026-01-28 07:00:00,36.0,36.6,35.5,36.0,3438300
2026-01-29 07:00:00,36.0,37.2,35.55,37.0,4027900
2026-01-30 07:00:00,37.1,37.5,36.55,36.6,4038100
2026-02-02 07:00:00,36.95,38.0,36.5,37.85,6163300
2026-02-03 07:00:00,38.1,38.6,37.5,37.6,5331100
2026-02-04 07:00:00,37.6,38.55,37.3,38.3,5412300
2026-02-05 07:00:00,38.6,39.15,38.5,38.6,7036500
2026-02-06 07:00:00,38.25,38.95,37.0,38.8,5823900
2026-02-09 07:00:00,39.0,39.9,38.1,39.9,5856700
2026-02-10 07:00:00,39.9,40.0,37.5,39.0,4612400
2026-02-11 07:00:00,39.0,39.5,38.05,39.5,3795100
2026-02-12 07:00:00,39.05,39.4,38.8,38.9,1402500
2026-02-13 07:00:00,38.85,39.2,38.4,39.2,2553900
2026-02-23 07:00:00,39.7,40.3,39.1,40.0,3327500
2026-02-24 07:00:00,40.2,42.0,39.3,42.0,6701000
2026-02-25 07:00:00,42.05,42.05,41.0,41.15,2272200
2026-02-26 07:00:00,41.2,41.35,40.15,40.4,2757800
2026-02-27 07:00:00,40.75,43.2,40.2,42.95,10552000
2026-03-02 07:00:00,45.9,45.95,44.8,45.95,8672600
2026-03-03 07:00:00,48.0,49.15,45.4,49.15,14000300
2026-03-04 07:00:00,49.0,50.7,46.45,50.0,10768000
2026-03-05 07:00:00,47.5,49.95,47.5,47.7,7129000
2026-03-06 07:00:00,48.4,50.0,46.65,49.5,8151200
2026-03-09 07:00:00,52.9,52.9,46.05,46.05,16428100
2026-03-10 07:00:00,47.0,49.25,45.5,48.7,9501500
2026-03-11 07:00:00,47.15,48.7,45.8,48.15,6388900
2026-03-12 07:00:00,48.25,50.9,48.0,50.2,9495700
2026-03-13 07:00:00,51.1,52.3,47.0,47.9,11046300
2026-03-16 07:00:00,47.2,47.7,44.55,44.55,8205000
2026-03-17 07:00:00,44.5,44.55,41.45,41.45,11197100
2026-03-18 07:00:00,43.0,44.35,41.5,44.35,5221400
2026-03-19 07:00:00,45.0,45.7,43.2,45.05,5443800
2026-03-20 07:00:00,44.85,44.9,43.0,43.6,5675400
2026-03-23 07:00:00,43.2,45.45,43.1,44.3,5838000
2026-03-24 07:00:00,45.1,45.95,44.3,45.35,3903900
2026-03-25 07:00:00,45.2,46.2,44.6,45.45,5753100
2026-03-26 07:00:00,45.45,48.6,44.8,48.6,7927500
2026-03-27 07:00:00,49.0,50.4,47.15,48.5,7559600
2026-03-30 07:00:00,49.2,49.9,48.3,49.0,3556500
2026-03-31 07:00:00,49.0,49.1,46.6,48.3,7359400
2026-04-01 07:00:00,48.4,48.7,45.3,45.3,7112700
2026-04-02 07:00:00,45.5,46.45,44.2,46.0,4365000
2026-04-03 07:00:00,46.0,46.6,44.35,44.35,2662000
2026-04-06 07:00:00,44.35,44.65,43.0,43.0,2694000
2026-04-07 07:00:00,43.7,44.65,43.3,44.3,3029200
2026-04-08 07:00:00,44.6,45.4,43.5,45.25,4883900
2026-04-09 07:00:00,45.1,45.8,44.75,45.0,2279400
2026-04-10 07:00:00,44.8,47.5,44.8,46.55,6196000
2026-04-13 07:00:00,47.1,48.0,46.3,47.0,3176300
2026-04-14 07:00:00,47.15,47.25,45.7,46.0,3236900
2026-04-15 00:00:00,43.68,43.87,42.02,42.02,5246639
2026-04-15 07:00:00,46.2,46.4,44.45,44.45,5240700
2026-04-16 00:00:00,42.35,43.06,41.79,42.07,4005666
2026-04-16 07:00:00,44.8,45.55,44.2,44.5,3994300
2026-04-17 00:00:00,42.54,44.15,42.35,42.92,3871505
2026-04-17 07:00:00,45.0,46.7,44.8,45.4,3867400
2026-04-20 00:00:00,42.97,43.58,42.31,42.54,2817656
2026-04-20 07:00:00,45.45,46.1,44.75,45.0,2813900
2026-04-21 00:00:00,42.64,43.16,42.12,42.31,2365209
2026-04-21 07:00:00,45.1,45.65,44.55,44.75,2360700
2026-04-22 00:00:00,42.64,43.49,42.35,42.4,2381778
2026-04-22 07:00:00,45.1,46.0,44.8,44.85,2378800
2026-04-23 00:00:00,42.73,42.83,40.32,41.03,5570029
2026-04-23 07:00:00,45.2,45.3,42.65,43.4,5563500
2026-04-24 00:00:00,40.75,41.74,39.33,39.38,6079401
2026-04-28 00:00:00,39.47,39.9,38.1,38.15,3539173
2026-04-29 00:00:00,38.62,40.6,38.15,40.37,3727779
2026-05-04 00:00:00,39.9,41.12,39.71,39.75,2912650
2026-05-05 00:00:00,40.18,40.6,38.95,40.27,2583230
2026-05-06 00:00:00,40.37,40.46,39.94,40.27,1297657
2026-05-07 00:00:00,40.18,40.18,38.76,38.86,5123394
2026-05-08 00:00:00,38.86,39.14,37.86,38.01,3399201
2026-05-11 00:00:00,38.15,40.56,38.01,40.56,4702141
2026-05-12 00:00:00,40.27,41.12,39.71,41.08,3886342
2026-05-13 00:00:00,41.08,42.45,40.27,41.12,5869170
2026-05-14 00:00:00,41.6,41.6,40.65,40.7,1992028
2026-05-15 00:00:00,40.6,41.5,40.23,41.36,2919086
2026-05-18 00:00:00,41.36,43.16,41.36,42.54,5937460
2026-05-19 00:00:00,42.73,42.83,39.75,40.18,4996041
2026-05-20 00:00:00,40.23,40.56,37.86,39.94,3884632
2026-05-21 00:00:00,39.94,40.04,38.81,39.19,1632233
2026-05-22 00:00:00,39.52,39.75,38.9,39.33,1279449
