date,open,high,low,close,volume
2025-10-06 07:00:00,89.58,89.58,88.24,88.91,1183200
2025-10-07 07:00:00,88.91,89.39,88.82,89.1,670200
2025-10-08 07:00:00,89.68,90.54,88.24,90.44,1164400
2025-10-09 07:00:00,90.44,90.54,89.2,89.58,942900
2025-10-10 07:00:00,90.25,90.44,89.58,90.35,1439300
2025-10-13 07:00:00,89.1,92.36,89.1,91.88,2001100
2025-10-14 07:00:00,92.84,93.61,91.98,92.17,2276000
2025-10-15 07:00:00,92.94,93.03,90.64,91.02,1184800
2025-10-16 07:00:00,91.02,91.21,90.06,91.02,1411000
2025-10-17 07:00:00,91.5,91.5,89.3,89.3,1038300
2025-10-20 07:00:00,88.72,90.35,83.36,83.36,2040600
2025-10-21 07:00:00,85.27,87.28,84.22,85.46,2272200
2025-10-22 07:00:00,85.46,90.06,85.46,87.19,2385600
2025-10-23 07:00:00,87.76,88.34,86.23,87.19,1263100
2025-10-24 07:00:00,87.19,88.91,86.8,88.53,1811000
2025-10-27 07:00:00,89.1,90.54,88.62,89.01,1467700
2025-10-28 07:00:00,88.62,91.12,88.62,90.06,1606900
2025-10-29 07:00:00,90.06,91.02,89.39,90.44,1210800
2025-10-30 07:00:00,90.54,91.31,89.3,89.68,1742100
2025-10-31 07:00:00,89.77,92.84,89.68,91.98,3377200
2025-11-03 07:00:00,92.55,93.32,91.5,91.5,2224300
2025-11-04 07:00:00,91.12,91.31,87.19,90.64,2784600
2025-11-05 07:00:00,89.58,91.02,89.49,91.02,1011500
2025-11-06 07:00:00,91.02,92.46,90.35,91.02,1047600
2025-11-07 07:00:00,90.44,91.02,88.82,89.2,1254600
2025-11-10 07:00:00,89.87,89.97,87.67,87.67,1462900
2025-11-11 07:00:00,87.76,88.91,87.19,87.95,1289100
2025-11-12 07:00:00,88.14,89.77,87.95,89.58,1102600
2025-11-13 07:00:00,90.35,95.81,90.25,95.81,8043300
2025-11-14 07:00:00,96.19,98.68,93.89,95.24,3803200
2025-11-17 07:00:00,95.24,97.25,93.89,94.85,3026100
2025-11-18 07:00:00,95.04,95.04,93.42,94.66,3418500
2025-11-19 07:00:00,94.66,96.0,92.36,92.55,4650300
2025-11-20 07:00:00,93.22,93.42,91.98,93.13,1562100
2025-11-21 07:00:00,92.36,92.74,91.12,92.74,1841800
2025-11-24 07:00:00,92.74,93.32,91.79,91.98,1206900
2025-11-25 07:00:00,91.79,92.46,89.77,90.06,2646700
2025-11-26 07:00:00,90.06,91.79,89.87,91.79,1433600
2025-11-27 07:00:00,91.88,91.98,90.83,91.02,882300
2025-11-28 07:00:00,91.02,91.59,90.25,90.35,984400
2025-12-01 07:00:00,90.83,91.59,90.16,91.02,939900
2025-12-02 07:00:00,91.02,92.74,90.25,92.74,2029100
2025-12-03 07:00:00,93.22,94.09,92.26,92.94,1698100
2025-12-04 07:00:00,92.84,93.89,92.46,92.94,1792300
2025-12-05 07:00:00,93.22,93.8,91.02,91.02,1466500
2025-12-08 07:00:00,91.02,91.5,89.87,90.06,1522000
2025-12-09 07:00:00,90.92,91.31,89.77,90.92,1924300
2025-12-10 07:00:00,91.5,91.88,91.02,91.02,892200
2025-12-11 07:00:00,91.88,91.88,90.44,90.64,822500
2025-12-12 07:00:00,90.73,90.73,88.05,88.14,2497400
2025-12-15 07:00:00,88.24,89.1,88.24,89.1,901600
2025-12-16 07:00:00,85.27,88.14,82.88,82.88,18556100
2025-12-17 07:00:00,77.13,77.13,77.13,77.13,3913900
2025-12-18 07:00:00,71.76,71.76,71.76,71.76,1021600
2025-12-19 07:00:00,66.78,76.65,66.78,67.26,36714200
2025-12-22 07:00:00,67.07,71.67,66.97,71.47,6028300
2025-12-23 07:00:00,72.43,75.21,68.03,68.6,13369900
2025-12-24 07:00:00,69.0,69.0,64.5,65.0,9727200
2025-12-25 07:00:00,63.5,67.0,63.5,64.6,5421600
2025-12-26 07:00:00,64.0,64.0,60.1,60.9,10094000
2025-12-29 07:00:00,60.0,63.5,58.2,61.0,6330400
2025-12-30 07:00:00,62.2,65.2,61.6,65.2,7221500
2025-12-31 07:00:00,67.0,68.8,66.1,68.5,11101300
2026-01-05 07:00:00,68.6,68.7,65.0,65.5,6484800
2026-01-06 07:00:00,65.2,66.3,62.7,63.0,5474100
2026-01-07 07:00:00,63.2,65.5,63.2,64.1,3207000
2026-01-08 07:00:00,65.0,65.0,62.7,62.8,5234400
2026-01-09 07:00:00,62.9,63.8,62.6,62.7,4030000
2026-01-12 07:00:00,63.9,64.3,62.6,63.7,4044400
2026-01-13 07:00:00,64.0,64.3,62.9,63.1,4373300
2026-01-14 07:00:00,63.1,64.8,62.9,63.9,4895300
2026-01-15 07:00:00,64.3,67.9,63.8,67.3,6973100
2026-01-16 07:00:00,68.0,68.1,66.0,66.0,4181100
2026-01-19 07:00:00,66.0,66.8,65.1,65.1,3348700
2026-01-20 07:00:00,65.3,66.0,64.3,64.5,3021000
2026-01-21 07:00:00,64.3,69.0,64.0,69.0,10749300
2026-01-22 07:00:00,71.4,73.8,70.2,73.8,9095300
2026-01-23 07:00:00,76.0,77.9,71.5,73.9,8651600
2026-01-26 07:00:00,73.8,73.8,68.8,68.8,7179700
2026-01-27 07:00:00,67.0,68.8,66.1,67.5,4918700
2026-01-28 07:00:00,67.7,69.4,67.0,68.1,3006800
2026-01-29 07:00:00,68.4,68.6,66.1,67.8,2642600
2026-01-30 07:00:00,69.0,71.0,68.2,68.6,3461500
2026-02-02 07:00:00,69.0,69.2,66.6,67.3,3457600
2026-02-03 07:00:00,67.3,68.4,67.3,67.9,2877600
2026-02-04 07:00:00,68.0,70.2,67.7,68.7,3240400
2026-02-05 07:00:00,69.0,69.3,67.5,67.7,1776500
2026-02-06 07:00:00,67.0,67.2,65.2,65.3,4564800
2026-02-09 07:00:00,65.8,67.4,65.7,67.2,1663800
2026-02-10 07:00:00,67.3,68.9,67.0,68.0,2665800
2026-02-11 07:00:00,68.0,68.7,68.0,68.5,2003400
2026-02-12 07:00:00,68.1,68.7,67.6,67.8,1138100
2026-02-13 07:00:00,67.9,68.8,67.3,68.4,1516100
2026-02-23 07:00:00,69.1,72.5,68.8,70.2,4067100
2026-02-24 07:00:00,70.0,75.1,70.0,75.1,10866500
2026-02-25 07:00:00,76.6,76.9,73.5,76.0,7127000
2026-02-26 07:00:00,76.0,76.0,73.5,73.6,3485600
2026-02-27 07:00:00,73.3,74.5,72.0,73.8,3393400
2026-03-02 07:00:00,73.0,76.8,71.9,75.3,9213900
2026-03-03 07:00:00,76.9,76.9,73.6,73.8,4302800
2026-03-04 07:00:00,73.5,73.9,70.1,70.9,6232900
2026-03-05 07:00:00,72.3,73.1,71.0,71.0,2672600
2026-03-06 07:00:00,71.1,75.6,71.1,73.1,5742700
2026-03-09 07:00:00,76.0,77.2,70.0,71.0,10234900
