date,open,high,low,close,volume
2025-10-06 07:00:00,19.89,21.08,19.89,21.08,15008000
2025-10-07 07:00:00,21.12,21.12,20.16,20.21,16184300
2025-10-08 07:00:00,20.53,20.62,19.52,19.75,38832300
2025-10-09 07:00:00,20.5,20.95,20.25,20.8,13013600
2025-10-10 07:00:00,21.0,21.55,20.95,21.4,10732900
2025-10-13 07:00:00,20.95,22.5,20.9,22.5,25956000
2025-10-14 07:00:00,22.8,23.2,22.35,22.6,26843000
2025-10-15 07:00:00,22.6,23.0,22.35,23.0,17682600
2025-10-16 07:00:00,23.25,24.6,23.25,24.6,43774400
2025-10-17 07:00:00,24.6,25.1,24.25,24.6,24105900
2025-10-20 07:00:00,24.1,24.8,22.9,22.9,35152700
2025-10-21 07:00:00,22.9,22.9,21.6,21.9,33230200
2025-10-22 07:00:00,22.1,22.5,21.0,22.5,20270900
2025-10-23 07:00:00,22.6,22.9,21.85,21.85,14273800
2025-10-24 07:00:00,21.6,22.4,21.25,21.9,15011500
2025-10-27 07:00:00,22.1,22.2,20.4,20.4,17398300
2025-10-28 07:00:00,19.9,20.95,19.5,20.95,18966400
2025-10-29 07:00:00,21.1,21.45,21.1,21.15,7710600
2025-10-30 07:00:00,21.2,21.65,21.0,21.25,8212000
2025-10-31 07:00:00,21.25,21.25,20.55,20.6,7672100
2025-11-03 07:00:00,20.55,20.75,19.3,19.3,16513300
2025-11-04 07:00:00,19.25,20.65,18.6,20.65,17529300
2025-11-05 07:00:00,20.65,20.65,20.05,20.15,5482000
2025-11-06 07:00:00,20.2,20.55,19.75,20.3,8907900
2025-11-07 07:00:00,20.3,20.35,19.5,19.7,8163900
2025-11-10 07:00:00,19.6,19.95,19.05,19.65,7745700
2025-11-11 07:00:00,19.7,20.2,19.6,20.15,9886500
2025-11-12 07:00:00,20.25,20.85,20.05,20.6,12044100
2025-11-13 07:00:00,20.65,20.65,20.0,20.0,8758300
2025-11-14 07:00:00,20.1,20.6,20.0,20.45,11956700
2025-11-17 07:00:00,20.6,21.65,20.6,21.35,16821600
2025-11-18 07:00:00,21.4,21.4,20.85,21.0,9901400
2025-11-19 07:00:00,21.1,21.6,20.75,21.1,14748300
2025-11-20 07:00:00,21.25,21.25,20.5,21.1,8136400
2025-11-21 07:00:00,20.85,21.15,20.55,21.0,10267400
2025-11-24 07:00:00,21.0,21.05,20.6,20.7,7233000
2025-11-25 07:00:00,20.7,21.0,19.8,20.05,11951400
2025-11-26 07:00:00,20.15,20.85,20.0,20.75,7851300
2025-11-27 07:00:00,20.8,20.85,20.25,20.25,7447800
2025-11-28 07:00:00,20.25,20.8,20.05,20.65,8816000
2025-12-01 07:00:00,20.7,20.7,20.15,20.2,6984500
