date,open,high,low,close,volume
2025-10-06 07:00:00,45.0,46.9,45.0,46.9,1508900
2025-10-07 07:00:00,46.9,47.4,45.7,45.7,1378900
2025-10-08 07:00:00,45.95,47.8,45.7,47.65,3869500
2025-10-09 07:00:00,48.0,49.0,47.65,48.0,2726000
2025-10-10 07:00:00,48.3,48.8,47.0,47.5,2332500
2025-10-13 07:00:00,46.95,49.25,46.85,48.75,3362700
2025-10-14 07:00:00,49.4,49.4,47.8,47.8,2675800
2025-10-15 07:00:00,48.2,48.45,46.95,48.4,2035700
2025-10-16 07:00:00,49.3,50.4,48.45,49.3,2902600
2025-10-17 07:00:00,49.35,50.4,48.0,48.0,2581700
2025-10-20 07:00:00,47.55,48.0,44.65,44.65,2851500
2025-10-21 07:00:00,43.6,44.5,43.0,43.5,3435000
2025-10-22 07:00:00,44.0,44.5,43.25,44.5,1165800
2025-10-23 07:00:00,44.4,45.3,44.1,44.6,938200
2025-10-24 07:00:00,44.2,44.6,43.4,44.15,843900
2025-10-27 07:00:00,44.3,44.5,42.5,42.5,958400
2025-10-28 07:00:00,42.3,43.5,42.1,43.3,918100
2025-10-29 07:00:00,43.7,44.5,43.6,44.05,612300
2025-10-30 07:00:00,44.4,44.9,44.15,44.75,663900
2025-10-31 07:00:00,44.7,44.7,43.8,43.8,572700
2025-11-03 07:00:00,43.8,44.0,42.2,42.2,896000
2025-11-04 07:00:00,42.05,44.15,41.9,43.8,1054100
2025-11-05 07:00:00,43.9,44.2,43.45,43.45,312900
2025-11-06 07:00:00,43.35,43.95,43.2,43.55,450500
2025-11-07 07:00:00,43.25,43.8,41.0,42.55,849500
2025-11-10 07:00:00,42.5,43.35,42.1,42.7,463800
2025-11-11 07:00:00,42.9,43.1,42.3,42.7,436700
2025-11-12 07:00:00,42.8,44.1,42.8,43.95,608900
2025-11-13 07:00:00,44.0,44.0,43.5,43.55,346600
2025-11-14 07:00:00,44.0,44.55,43.85,44.2,700500
2025-11-17 07:00:00,44.15,45.0,44.15,44.95,602500
2025-11-18 07:00:00,45.2,45.95,45.0,45.65,1168700
2025-11-19 07:00:00,45.85,45.85,44.75,44.8,727900
2025-11-20 07:00:00,44.8,45.0,44.05,44.2,483500
2025-11-21 07:00:00,44.15,44.55,43.9,44.5,507500
2025-11-24 07:00:00,44.55,45.1,44.0,44.0,393600
2025-11-25 07:00:00,44.1,44.65,43.8,44.05,717000
2025-11-26 07:00:00,44.1,44.85,44.1,44.75,409100
2025-11-27 07:00:00,44.75,45.05,44.05,44.2,439900
2025-11-28 07:00:00,44.2,44.2,43.4,43.6,636600
2025-12-01 07:00:00,43.6,43.8,43.05,43.2,378800
2025-12-02 07:00:00,43.05,43.2,42.3,42.8,650300
2025-12-03 07:00:00,42.85,43.45,42.8,43.35,417300
2025-12-04 07:00:00,43.6,44.0,43.35,43.8,472200
2025-12-05 07:00:00,43.8,43.8,43.0,43.1,603500
2025-12-08 07:00:00,43.2,43.2,42.5,42.7,538900
2025-12-09 07:00:00,42.7,43.55,42.7,43.5,630400
2025-12-10 07:00:00,43.9,43.9,42.85,42.95,197500
2025-12-11 07:00:00,42.8,43.1,42.55,42.6,337300
2025-12-12 07:00:00,42.65,42.7,40.0,41.2,1225900
2025-12-15 07:00:00,40.5,41.3,40.5,41.0,403800
2025-12-16 07:00:00,41.0,42.25,39.2,41.7,691500
2025-12-17 07:00:00,41.05,41.6,40.45,40.45,208000
2025-12-18 07:00:00,40.2,40.7,40.2,40.45,140600
2025-12-19 07:00:00,40.7,40.95,40.3,40.55,183300
2025-12-22 07:00:00,40.55,41.5,40.55,41.2,405000
2025-12-23 07:00:00,41.5,41.7,40.95,41.25,474300
2025-12-24 07:00:00,40.9,41.4,40.7,40.8,228200
2025-12-25 07:00:00,40.8,41.05,39.0,39.0,1242300
2025-12-26 07:00:00,38.8,39.1,37.6,38.5,899800
2025-12-29 07:00:00,38.5,38.85,38.5,38.75,247500
2025-12-30 07:00:00,38.75,38.95,38.1,38.2,358800
2025-12-31 07:00:00,38.15,38.2,37.2,37.5,721000
2026-01-05 07:00:00,37.5,37.9,37.0,37.45,717500
2026-01-06 07:00:00,37.0,37.55,36.1,36.6,670700
2026-01-07 07:00:00,37.0,37.65,36.65,37.65,514100
2026-01-08 07:00:00,37.95,37.95,37.0,37.25,495200
2026-01-09 07:00:00,37.25,37.25,35.9,36.0,866000
2026-01-12 07:00:00,36.1,38.5,35.7,38.5,788800
2026-01-13 07:00:00,41.15,41.15,40.05,40.85,1699100
2026-01-14 07:00:00,40.5,41.15,39.8,40.85,879100
2026-01-15 07:00:00,41.0,42.4,40.0,42.0,1861100
2026-01-16 07:00:00,42.0,42.0,41.2,42.0,766800
2026-01-19 07:00:00,41.85,42.3,41.5,42.3,780900
2026-01-20 07:00:00,42.05,43.1,41.65,42.8,1561200
2026-01-21 07:00:00,42.45,43.05,41.75,43.0,855100
2026-01-22 07:00:00,42.75,45.0,42.5,44.95,1383100
2026-01-23 07:00:00,44.2,45.0,43.95,44.95,915100
2026-01-26 07:00:00,44.7,44.7,42.0,44.4,824800
2026-01-27 07:00:00,43.4,44.5,43.1,44.2,570200
2026-01-28 07:00:00,44.2,44.9,43.0,43.9,885000
2026-01-29 07:00:00,43.9,44.1,43.15,44.0,321200
2026-01-30 07:00:00,44.15,45.2,43.7,44.45,868500
2026-02-02 07:00:00,43.7,44.5,43.65,44.0,507400
2026-02-03 07:00:00,44.0,45.5,43.85,44.0,769600
2026-02-04 07:00:00,44.7,46.9,44.0,45.8,1901600
2026-02-05 07:00:00,46.6,46.6,44.6,44.7,512800
2026-02-06 07:00:00,44.15,45.35,43.1,43.2,1023200
2026-02-09 07:00:00,43.3,45.0,42.45,44.95,1137800
2026-02-10 07:00:00,45.3,46.0,44.5,45.3,921700
2026-02-11 07:00:00,45.45,47.0,44.9,46.6,1536900
2026-02-12 07:00:00,46.2,46.5,45.5,46.3,492400
2026-02-13 07:00:00,46.0,46.0,44.9,45.05,644300
2026-02-23 07:00:00,45.6,45.6,44.5,45.3,522600
2026-02-24 07:00:00,44.5,45.6,44.45,45.6,718400
2026-02-25 07:00:00,46.0,47.5,45.8,46.15,1011000
2026-02-26 07:00:00,46.15,49.05,45.7,47.8,2281100
2026-02-27 07:00:00,48.2,48.2,46.65,47.2,744200
2026-03-02 07:00:00,45.55,47.0,45.5,45.0,971000
2026-03-03 07:00:00,45.3,45.9,43.5,43.6,1437300
2026-03-04 07:00:00,43.15,45.95,42.85,45.8,1277400
2026-03-05 07:00:00,46.1,47.45,45.5,45.5,889400
2026-03-06 07:00:00,44.15,45.0,43.1,43.5,903300
2026-03-09 07:00:00,40.5,41.5,40.5,40.5,581000
2026-03-10 07:00:00,40.3,41.0,38.8,40.95,1514200
2026-03-11 07:00:00,40.95,42.3,40.6,41.8,360100
2026-03-12 07:00:00,41.95,42.0,40.5,41.0,431200
2026-03-13 07:00:00,40.9,41.95,40.1,40.85,734300
2026-03-16 07:00:00,40.8,42.0,40.3,42.0,584100
2026-03-17 07:00:00,41.9,41.9,41.0,41.85,317700
2026-03-18 07:00:00,41.2,41.6,40.35,41.4,557500
2026-03-19 07:00:00,40.9,41.8,40.2,41.6,383600
2026-03-20 07:00:00,41.4,41.7,40.6,40.85,297900
2026-03-23 07:00:00,40.15,40.3,38.5,39.0,529400
2026-03-24 07:00:00,39.6,40.5,39.0,39.8,347300
2026-03-25 07:00:00,40.2,40.95,39.6,40.85,865900
2026-03-26 07:00:00,41.0,41.0,39.7,40.7,422400
2026-03-27 07:00:00,40.5,41.6,40.15,41.35,489700
2026-03-30 07:00:00,40.45,40.9,40.25,40.35,338900
2026-03-31 07:00:00,40.6,42.25,40.4,42.2,1094100
2026-04-01 07:00:00,42.85,42.85,41.7,42.15,513500
2026-04-02 07:00:00,41.95,41.95,40.7,41.95,453900
2026-04-03 07:00:00,41.7,41.85,40.75,41.25,397700
2026-04-06 07:00:00,41.2,41.3,40.3,40.6,334200
2026-04-07 07:00:00,40.75,42.0,39.65,42.0,601400
2026-04-08 07:00:00,42.2,43.0,41.6,42.75,820100
2026-04-09 07:00:00,42.7,43.6,42.3,43.3,808300
2026-04-10 07:00:00,43.7,43.8,42.7,42.75,499900
2026-04-13 07:00:00,42.15,44.7,42.1,44.2,1200500
2026-04-14 07:00:00,44.1,44.6,43.6,44.0,553600
2026-04-15 07:00:00,44.1,44.1,43.0,43.0,643200
2026-04-16 07:00:00,43.2,43.2,42.05,42.4,671400
2026-04-17 07:00:00,42.7,42.7,42.1,42.3,370400
2026-04-20 07:00:00,42.5,42.9,42.05,42.9,298800
2026-04-21 07:00:00,43.25,43.45,42.3,42.5,550900
2026-04-22 07:00:00,42.35,42.5,41.55,42.4,586000
2026-04-23 07:00:00,41.65,42.4,41.05,42.1,927200
2026-04-24 07:00:00,42.4,44.45,41.55,44.25,2120300
2026-04-28 07:00:00,44.6,44.95,44.15,44.15,264100
