date,open,high,low,close,volume
2025-10-06 07:00:00,36.65,37.25,36.65,37.0,244100
2025-10-07 07:00:00,37.55,37.55,37.0,37.0,222000
2025-10-08 07:00:00,37.35,37.4,36.9,37.1,197000
2025-10-09 07:00:00,37.1,37.75,37.0,37.5,385800
2025-10-10 07:00:00,37.55,37.7,37.0,37.3,368700
2025-10-13 07:00:00,37.1,37.9,36.65,37.7,378200
2025-10-14 07:00:00,37.7,37.7,36.85,36.85,477100
2025-10-15 07:00:00,37.05,37.05,36.55,36.7,288200
2025-10-16 07:00:00,37.2,37.2,36.35,36.5,347700
2025-10-17 07:00:00,36.5,36.55,36.05,36.05,290400
2025-10-20 07:00:00,35.85,36.4,33.6,33.6,536700
2025-10-21 07:00:00,34.9,35.5,34.2,35.5,534600
2025-10-22 07:00:00,35.5,36.1,35.2,36.1,213600
2025-10-23 07:00:00,36.5,36.7,36.3,36.55,227900
2025-10-24 07:00:00,36.8,37.2,36.3,37.1,402700
2025-10-27 07:00:00,37.25,37.9,37.2,37.6,390100
2025-10-28 07:00:00,37.5,37.5,36.0,37.45,385700
2025-10-29 07:00:00,38.2,39.0,37.8,38.8,1390800
2025-10-30 07:00:00,38.9,39.3,38.45,38.8,650900
2025-10-31 07:00:00,38.9,39.6,38.5,39.05,1153000
2025-11-03 07:00:00,39.05,39.6,38.8,38.95,963400
2025-11-04 07:00:00,39.0,39.0,37.15,38.85,1043900
2025-11-05 07:00:00,38.8,38.8,37.9,38.05,443000
2025-11-06 07:00:00,38.45,38.75,37.6,37.7,365900
2025-11-07 07:00:00,37.7,38.0,36.5,36.7,1151700
2025-11-10 07:00:00,36.7,37.0,36.05,36.3,349800
2025-11-11 07:00:00,36.55,36.95,36.1,36.95,328900
2025-11-12 07:00:00,37.05,37.75,37.05,37.65,398700
2025-11-13 07:00:00,37.8,38.8,37.7,38.4,740200
2025-11-14 07:00:00,38.35,38.4,37.85,38.0,343100
2025-11-17 07:00:00,37.9,39.2,37.9,38.9,979900
2025-11-18 07:00:00,39.1,39.45,38.55,38.8,560800
2025-11-19 07:00:00,38.8,39.5,38.3,38.55,692600
2025-11-20 07:00:00,38.55,39.0,37.9,38.2,340000
2025-11-21 07:00:00,38.1,39.0,37.5,38.3,504200
2025-11-24 07:00:00,38.45,38.6,38.25,38.45,265300
2025-11-25 07:00:00,38.45,39.2,38.0,38.3,794800
2025-11-26 07:00:00,38.5,38.7,38.3,38.7,158500
2025-11-27 07:00:00,38.7,39.95,38.6,39.75,1992600
2025-11-28 07:00:00,39.95,39.95,38.95,38.95,827300
2025-12-01 07:00:00,39.4,39.4,38.0,38.0,603900
2025-12-02 07:00:00,38.05,38.5,37.8,38.45,572100
2025-12-03 07:00:00,38.4,38.8,38.15,38.65,494100
2025-12-04 07:00:00,38.8,39.25,38.35,38.55,635600
2025-12-05 07:00:00,38.55,38.55,38.1,38.1,341700
2025-12-08 07:00:00,38.1,38.2,37.55,37.55,580900
2025-12-09 07:00:00,37.55,37.6,36.95,37.2,569200
2025-12-10 07:00:00,37.2,37.75,37.05,37.65,230600
2025-12-11 07:00:00,37.7,37.75,37.35,37.55,146200
