date,open,high,low,close,volume
2025-10-06 07:00:00,16.05,16.4,16.05,16.3,213500
2025-10-07 07:00:00,16.25,16.4,16.15,16.2,139100
2025-10-08 07:00:00,16.4,16.6,16.2,16.25,317400
2025-10-09 07:00:00,16.45,16.45,16.05,16.2,143300
2025-10-10 07:00:00,16.1,16.35,16.1,16.15,210000
2025-10-13 07:00:00,16.0,16.15,16.0,16.0,456000
2025-10-14 07:00:00,16.05,16.1,15.75,15.85,348200
2025-10-15 07:00:00,15.8,15.8,15.5,15.55,443800
2025-10-16 07:00:00,15.85,15.85,15.5,15.65,294700
2025-10-17 07:00:00,15.65,15.7,15.5,15.6,237100
2025-10-20 07:00:00,15.65,15.65,15.0,15.0,255600
2025-10-21 07:00:00,15.05,15.4,14.9,15.1,373700
2025-10-22 07:00:00,15.1,15.25,14.95,15.15,234000
2025-10-23 07:00:00,15.2,15.35,15.15,15.3,149000
2025-10-24 07:00:00,15.25,15.25,15.0,15.15,222700
2025-10-27 07:00:00,15.3,16.15,15.3,16.1,450300
2025-10-28 07:00:00,16.0,16.1,15.65,16.0,194300
2025-10-29 07:00:00,16.05,16.15,15.95,16.05,296500
2025-10-30 07:00:00,16.3,16.3,15.7,15.85,224900
2025-10-31 07:00:00,15.95,16.15,15.75,15.9,499700
2025-11-03 07:00:00,15.9,16.15,15.75,15.8,160100
2025-11-04 07:00:00,15.8,15.85,15.1,15.65,386600
2025-11-05 07:00:00,15.65,15.75,15.4,15.4,231500
2025-11-06 07:00:00,15.5,16.0,15.3,15.6,218500
2025-11-07 07:00:00,15.6,15.75,15.4,15.4,207400
2025-11-10 07:00:00,15.45,15.6,15.35,15.45,123600
2025-11-11 07:00:00,15.45,15.75,15.4,15.4,212000
2025-11-12 07:00:00,15.5,15.65,15.45,15.65,132200
2025-11-13 07:00:00,15.8,15.8,15.6,15.8,320600
2025-11-14 07:00:00,15.8,15.9,15.5,15.7,275600
2025-11-17 07:00:00,15.7,15.9,15.7,15.75,150800
2025-11-18 07:00:00,15.85,16.0,15.7,15.75,252600
2025-11-19 07:00:00,15.8,15.9,15.6,15.6,191400
2025-11-20 07:00:00,15.6,15.65,15.5,15.55,105500
2025-11-21 07:00:00,15.5,15.7,15.35,15.55,105300
2025-11-24 07:00:00,15.5,15.65,15.45,15.55,107400
2025-11-25 07:00:00,15.55,15.55,15.35,15.4,213200
2025-11-26 07:00:00,15.4,15.5,15.3,15.45,155200
2025-11-27 07:00:00,15.45,15.55,15.4,15.5,190300
2025-11-28 07:00:00,15.5,15.55,15.3,15.3,154400
2025-12-01 07:00:00,15.35,15.6,15.3,15.4,181900
2025-12-02 07:00:00,15.6,15.6,15.3,15.35,207500
2025-12-03 07:00:00,15.35,15.45,15.3,15.35,250000
2025-12-04 07:00:00,15.5,15.6,15.4,15.45,195400
2025-12-05 07:00:00,15.45,15.5,15.3,15.3,165900
2025-12-08 07:00:00,15.3,15.4,15.25,15.3,183300
2025-12-09 07:00:00,15.2,15.4,15.15,15.3,229300
2025-12-10 07:00:00,15.3,15.35,15.1,15.25,281600
2025-12-11 07:00:00,15.25,15.3,15.1,15.15,81700
2025-12-12 07:00:00,15.15,15.2,14.6,14.8,427800
2025-12-15 07:00:00,14.85,14.85,14.6,14.7,241700
2025-12-16 07:00:00,14.7,14.7,14.4,14.7,444500
2025-12-17 07:00:00,14.6,14.9,14.6,14.75,154000
2025-12-18 07:00:00,14.75,14.9,14.7,14.9,87800
2025-12-19 07:00:00,15.0,15.1,14.85,14.9,130100
2025-12-22 07:00:00,14.95,15.0,14.85,14.9,227500
2025-12-23 07:00:00,14.85,15.2,14.85,14.9,202600
2025-12-24 07:00:00,14.95,15.0,14.75,14.9,130400
2025-12-25 07:00:00,14.9,14.9,14.75,14.75,141800
2025-12-26 07:00:00,14.7,14.85,14.4,14.55,278100
2025-12-29 07:00:00,14.55,14.75,14.55,14.6,95600
