date,open,high,low,close,volume
2025-10-06 07:00:00,20.9,21.7,20.9,21.6,790300
2025-10-07 07:00:00,21.6,22.3,21.3,21.3,290200
2025-10-08 07:00:00,21.5,22.0,21.2,21.5,400000
2025-10-09 07:00:00,21.5,22.4,21.4,22.4,1123000
2025-10-10 07:00:00,22.4,22.9,22.0,22.0,826800
2025-10-13 07:00:00,21.6,22.9,21.2,22.9,1541800
2025-10-14 07:00:00,23.0,23.4,21.8,21.9,1463100
2025-10-15 07:00:00,21.9,22.1,21.5,21.5,710600
2025-10-16 07:00:00,21.5,22.1,21.5,22.0,603400
2025-10-17 07:00:00,22.1,22.2,21.3,21.3,631000
2025-10-20 07:00:00,21.2,21.5,19.2,19.2,1508700
2025-10-21 07:00:00,19.2,19.9,18.8,19.5,996600
2025-10-22 07:00:00,19.5,20.0,19.2,20.0,414600
2025-10-23 07:00:00,20.1,20.2,19.5,19.5,236300
2025-10-24 07:00:00,19.5,20.0,19.0,19.5,549000
2025-10-27 07:00:00,19.5,20.2,19.5,19.5,289400
2025-10-28 07:00:00,19.5,20.0,19.3,19.8,388000
2025-10-29 07:00:00,19.8,20.2,19.6,19.9,425100
2025-10-30 07:00:00,19.8,20.4,19.8,20.2,438200
2025-10-31 07:00:00,20.2,20.2,19.8,19.9,288400
2025-11-03 07:00:00,19.9,19.9,19.1,19.2,424400
2025-11-04 07:00:00,19.1,19.5,18.2,19.4,589200
2025-11-05 07:00:00,19.3,19.5,18.9,18.9,200700
2025-11-06 07:00:00,19.0,19.3,18.8,19.0,86100
2025-11-07 07:00:00,18.9,19.1,18.3,18.6,331600
2025-11-10 07:00:00,18.6,18.6,18.1,18.1,233900
2025-11-11 07:00:00,18.3,18.5,17.9,18.2,307500
2025-11-12 07:00:00,18.3,18.6,18.1,18.6,135200
2025-11-13 07:00:00,18.7,18.7,18.1,18.6,397900
2025-11-14 07:00:00,18.4,18.8,18.3,18.5,155800
2025-11-17 07:00:00,18.0,19.1,18.0,18.8,435300
2025-11-18 07:00:00,18.8,18.8,18.3,18.6,262300
2025-11-19 07:00:00,18.7,18.7,18.1,18.4,524100
2025-11-20 07:00:00,18.1,18.5,18.0,18.3,187800
2025-11-21 07:00:00,18.3,18.4,17.9,18.1,340100
2025-11-24 07:00:00,17.9,18.3,17.9,17.9,132000
2025-11-25 07:00:00,17.9,18.2,17.5,17.8,334600
2025-11-26 07:00:00,17.8,18.1,17.6,18.1,112200
2025-11-27 07:00:00,18.1,18.3,17.8,18.0,174600
2025-11-28 07:00:00,17.9,18.0,17.9,17.9,193500
2025-12-01 07:00:00,18.0,18.0,17.6,17.8,112000
