date,open,high,low,close,volume
2025-10-06 07:00:00,11.0,11.2,11.0,11.2,103100
2025-10-07 07:00:00,11.2,11.3,11.1,11.2,90600
2025-10-08 07:00:00,11.2,11.3,10.9,11.1,118200
2025-10-09 07:00:00,11.0,11.1,10.9,11.0,189300
2025-10-10 07:00:00,11.1,11.1,10.9,10.9,143900
2025-10-13 07:00:00,10.9,11.1,10.8,10.8,168000
2025-10-14 07:00:00,10.9,11.0,10.7,10.8,109200
2025-10-15 07:00:00,10.8,10.9,10.7,10.8,62400
2025-10-16 07:00:00,10.8,10.8,10.7,10.8,93600
2025-10-17 07:00:00,10.8,10.8,10.5,10.8,221900
2025-10-20 07:00:00,10.7,10.7,10.2,10.3,184200
2025-10-21 07:00:00,10.3,10.3,10.0,10.2,266400
2025-10-22 07:00:00,10.2,10.2,9.8,10.1,90500
2025-10-23 07:00:00,10.1,10.3,10.0,10.2,227300
2025-10-24 07:00:00,10.2,10.2,10.1,10.2,51400
2025-10-27 07:00:00,10.2,10.2,10.0,10.0,127500
2025-10-28 07:00:00,10.1,10.2,10.0,10.2,69600
2025-10-29 07:00:00,10.2,10.3,10.1,10.3,97200
2025-10-30 07:00:00,10.3,11.3,10.2,11.3,684600
2025-10-31 07:00:00,11.5,11.6,11.0,11.3,327100
2025-11-03 07:00:00,11.3,11.3,11.0,11.0,178500
2025-11-04 07:00:00,11.0,11.0,10.5,11.0,190500
2025-11-05 07:00:00,11.0,11.0,10.7,10.8,215100
2025-11-06 07:00:00,10.8,10.9,10.7,10.9,91400
2025-11-07 07:00:00,10.9,10.9,10.6,10.6,196700
2025-11-10 07:00:00,10.6,10.6,10.4,10.5,164700
2025-11-11 07:00:00,10.5,10.6,10.4,10.5,69300
2025-11-12 07:00:00,10.5,10.7,10.5,10.6,168000
2025-11-13 07:00:00,10.5,11.0,10.4,10.9,305900
2025-11-14 07:00:00,10.8,10.9,10.6,10.8,232900
2025-11-17 07:00:00,10.9,11.0,10.8,10.9,185500
2025-11-18 07:00:00,10.9,11.0,10.8,10.9,137900
2025-11-19 07:00:00,10.9,11.2,10.9,11.0,335100
2025-11-20 07:00:00,11.2,11.3,10.9,11.2,284100
2025-11-21 07:00:00,11.2,11.2,10.9,11.1,221800
2025-11-24 07:00:00,11.1,11.2,11.0,11.0,171000
2025-11-25 07:00:00,9.9,11.0,9.9,10.6,378500
2025-11-26 07:00:00,10.7,10.9,10.7,10.7,139400
2025-11-27 07:00:00,10.8,10.9,10.7,10.7,434200
2025-11-28 07:00:00,10.8,10.8,10.7,10.8,331700
2025-12-01 07:00:00,10.8,10.9,10.7,10.8,96800
2025-12-02 07:00:00,10.7,10.8,10.7,10.8,59900
2025-12-03 07:00:00,10.8,10.9,10.7,10.8,281000
2025-12-04 07:00:00,10.8,11.3,10.8,11.1,772800
2025-12-05 07:00:00,11.2,11.4,11.1,11.2,424000
2025-12-08 07:00:00,11.3,11.3,10.9,11.1,413000
2025-12-09 07:00:00,11.1,11.1,10.8,10.9,375900
2025-12-10 07:00:00,10.9,11.2,10.8,11.0,330800
2025-12-11 07:00:00,11.0,11.1,10.8,10.9,302900
2025-12-12 07:00:00,10.9,11.0,10.5,10.6,429600
2025-12-15 07:00:00,10.6,10.6,10.5,10.6,367000
2025-12-16 07:00:00,10.6,10.7,10.5,10.7,138600
2025-12-17 07:00:00,10.7,10.8,10.7,10.7,171600
2025-12-18 07:00:00,10.7,10.8,10.6,10.8,46800
2025-12-19 07:00:00,10.8,10.8,10.6,10.8,91400
2025-12-22 07:00:00,10.8,10.8,10.7,10.8,39000
2025-12-23 07:00:00,10.8,10.9,10.7,10.8,88800
2025-12-24 07:00:00,10.8,10.8,10.7,10.7,81500
2025-12-25 07:00:00,10.7,10.7,10.7,10.7,90100
2025-12-26 07:00:00,10.6,10.8,10.6,10.8,199900
2025-12-29 07:00:00,10.8,10.8,10.6,10.8,97800
2025-12-30 07:00:00,10.7,10.8,10.7,10.8,99900
2025-12-31 07:00:00,10.8,11.1,10.8,10.9,151000
2026-01-05 07:00:00,11.0,11.3,10.7,10.7,299800
2026-01-06 07:00:00,10.7,11.0,10.7,10.9,120400
2026-01-07 07:00:00,10.9,11.0,10.8,10.9,235700
2026-01-08 07:00:00,11.0,11.1,10.8,10.9,157100
2026-01-09 07:00:00,10.9,10.9,10.7,10.9,229100
2026-01-12 07:00:00,10.9,11.0,10.9,11.0,164800
2026-01-13 07:00:00,11.0,11.2,10.9,11.1,237300
2026-01-14 07:00:00,11.1,11.6,11.0,11.4,443500
